period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2024-08,31,0,3,0,139,0,77,62,116,23,0,0,13,15,0,3571.38,127.55,58690.63,2096.09,864905.78,2024-08-11,2012.46,33147.41,2024-08-10,-1047.28,-17265.87,4,4,2576.15,39921.38,4.8993
2024-09,30,1,1,0,153,0,67,86,132,21,0,0,11,17,0,-1079.86,-38.57,-18052.86,-644.74,846852.93,2024-09-17,1325.53,22653.65,2024-09-23,-959.80,-15152.07,3,6,3931.16,67906.47,7.6261
2024-10,31,2,1,0,166,1,90,76,143,22,1,0,12,16,0,2639.84,94.28,38281.93,1367.21,885134.90,2024-10-21,1886.87,27561.17,2024-10-03,-1193.80,-19534.37,3,3,1874.63,30174.56,3.5631
2024-11,30,0,2,0,175,0,88,87,155,20,0,0,10,18,0,-7465.92,-266.64,-87277.95,-3117.07,797856.97,2024-11-06,1584.58,22965.67,2024-11-07,-1503.31,-20065.41,3,6,8225.39,97007.64,10.9596
2024-12,31,0,0,0,171,0,76,95,148,23,0,0,14,17,0,5410.91,174.55,53978.02,1741.23,851835.02,2024-12-11,2232.62,22944.91,2024-12-07,-1909.22,-19146.96,4,4,4549.19,45493.82,5.5090
2025-01,31,1,1,0,159,0,78,81,141,18,0,0,11,18,0,-5620.10,-193.80,-53870.63,-1857.61,797964.39,2025-01-02,1510.25,16079.43,2025-01-18,-2456.95,-23660.70,3,4,5673.26,54700.21,6.4152
2025-02,28,0,3,0,142,0,67,75,127,15,0,0,8,17,0,-3288.20,-131.53,-33431.69,-1337.27,764532.77,2025-02-20,2368.71,24595.61,2025-02-04,-1900.28,-19207.29,1,4,5367.55,54974.26,6.8401
2025-03,31,1,2,0,159,0,87,72,143,16,0,0,12,16,0,-138.39,-4.94,264.17,9.43,764796.93,2025-03-03,2110.49,23078.50,2025-03-25,-1802.88,-20617.08,2,5,5948.04,68843.28,8.6704
2025-04,30,0,0,0,177,0,95,82,150,27,0,0,13,17,0,2251.77,75.06,28128.11,937.60,792925.07,2025-04-02,2502.60,29416.58,2025-04-04,-1747.58,-21093.52,3,4,3168.82,35264.81,4.2975
2025-05,31,2,0,0,168,0,86,82,148,20,0,0,12,17,0,-7139.35,-246.18,-68935.71,-2377.09,723989.35,2025-05-08,1677.35,17266.70,2025-05-12,-2935.52,-28165.68,4,9,11512.72,110672.97,13.8376
2025-06,30,2,0,0,192,0,108,84,173,19,0,0,9,19,0,-11227.36,-400.98,-105221.46,-3757.91,618767.95,2025-06-25,2141.18,20279.28,2025-06-19,-2694.70,-25743.11,3,5,11227.36,105221.40,14.5336
2025-07,31,0,0,0,183,0,102,81,160,23,0,0,15,16,0,1814.33,58.53,19380.26,625.17,638148.21,2025-07-15,2920.26,24352.70,2025-07-24,-2157.19,-18176.78,4,8,10025.78,84525.04,11.6962
2025-08,31,1,0,0,179,0,88,91,156,23,0,0,11,19,0,5780.65,192.69,46704.62,1556.82,684852.76,2025-08-01,4415.57,37884.44,2025-08-08,-2187.21,-18741.93,2,4,5712.13,51281.73,6.9664
2025-09,30,0,1,0,156,0,84,72,139,17,0,0,12,17,0,-5750.11,-198.28,-51164.45,-1764.29,633688.30,2025-09-06,744.75,6709.80,2025-09-15,-1819.22,-15731.23,4,8,6147.18,54082.39,7.8969
2025-10,31,2,0,0,152,1,83,69,128,23,1,0,15,14,0,-885.05,-30.52,-5020.42,-173.12,628667.90,2025-10-29,2445.04,21667.56,2025-10-15,-2251.15,-19972.23,8,5,8411.61,71878.15,11.0530
2025-11,30,0,1,0,169,0,92,77,148,21,0,0,13,16,0,-6151.86,-212.13,-66417.99,-2290.28,562249.94,2025-11-23,1594.53,18829.17,2025-11-22,-3021.55,-35839.86,3,3,7951.70,85385.51,13.2461
2025-12,31,0,1,0,151,0,85,66,128,23,0,0,16,14,0,6837.75,227.93,77632.03,2587.73,639881.94,2025-12-11,2873.37,31392.46,2025-12-07,-1651.94,-18477.26,3,3,2362.99,26326.45,4.5024
2026-01,31,0,0,0,173,0,83,90,148,25,0,0,15,16,0,3814.70,123.05,41001.26,1322.62,680883.22,2026-01-25,2205.69,24746.35,2026-01-26,-1593.13,-18163.35,4,4,2533.12,27912.20,4.2222
2026-02,28,1,2,0,124,0,63,61,101,23,0,0,13,12,0,7390.65,295.63,100499.01,4019.96,781382.21,2026-02-23,2817.16,42021.65,2026-02-19,-1374.82,-20609.58,3,3,3753.92,54915.49,7.2898
2026-03,31,1,2,0,152,0,85,67,135,17,0,0,12,16,0,-1996.54,-71.30,-30310.84,-1082.53,751071.32,2026-03-16,1611.49,21990.94,2026-03-12,-1832.77,-26115.39,4,5,3025.36,43367.87,5.5501
2026-04,30,1,0,0,163,0,74,89,144,19,0,0,13,16,0,-279.45,-9.64,-3672.88,-126.65,747398.46,2026-04-19,1928.54,25264.32,2026-04-03,-1271.39,-19035.98,2,5,3636.19,46719.81,6.1238
2026-05,10,0,0,0,41,1,21,20,33,7,0,1,5,5,0,3370.44,337.04,42868.35,4286.84,790266.81,2026-05-01,1759.05,23064.02,2026-05-03,-572.81,-7293.84,2,2,975.22,12397.52,1.5998
