sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
fixed_fractional,commodities,CLF,2026-04-17,OPEN_EQUALS_LOW,LONG,2026-04-17T09:15:00-04:00,81.059998,81.800003,81.059998,81.32,6474.0,-10.3219,2026-04-17T09:25:00-04:00,82.099998,2026-04-17T09:30:00-04:00,82.116418,81.043786,84.261684,2026-04-17T10:15:00-04:00,81.027577,STOP_LOSS,1.082144,966,105215.83,1.0,1051.82,544.73,6312.95,79324.46,102528.79,315647.49,risk_budget,fixed_percent_risk,-1051.82,47.28,-1099.1,-1.3856,-1.0449,10,104065.41
fixed_fractional,commodities,SIF,2026-04-17,OPEN_EQUALS_HIGH,SHORT,2026-04-17T09:15:00-04:00,82.150002,82.154999,81.720001,81.830002,1024.0,4.3241,2026-04-17T13:20:00-04:00,81.574997,2026-04-17T13:25:00-04:00,81.588682,82.166432,80.433184,2026-04-17T14:25:00-04:00,82.182865,STOP_LOSS,0.208213,1275,104065.41,1.0,757.58,0.0,6243.92,104025.57,0.0,312196.23,per_trade_allocation,fixed_percent_risk,-757.58,62.64,-820.23,-0.7885,-1.0827,13,103245.18
fixed_fractional,equity,BHARTIARTL_NS,2026-04-20,OPEN_EQUALS_HIGH,SHORT,2026-04-20T09:15:00+05:30,1864.0,1864.0,1853.099976,1855.0,0.0,0.7186,2026-04-20T09:20:00+05:30,1849.900024,2026-04-20T09:25:00+05:30,1849.330011,1864.3728,1819.244434,2026-04-20T15:20:00+05:30,1840.8681,END_OF_DAY,4.864267,55,103245.18,1.0,847.86,0.0,6194.71,101713.15,0.0,309735.54,per_trade_allocation,fixed_percent_risk,465.41,60.89,404.52,0.3977,0.4771,13,103649.7
fixed_fractional,equity,INFY_NS,2026-04-20,OPEN_EQUALS_HIGH,SHORT,2026-04-20T09:15:00+05:30,1324.800049,1324.800049,1313.800049,1315.699951,0.0,0.3636,2026-04-20T09:20:00+05:30,1313.300049,2026-04-20T09:25:00+05:30,1312.937311,1325.065009,1288.681916,2026-04-20T15:20:00+05:30,1310.162004,END_OF_DAY,3.149998,78,103245.18,1.0,966.63,847.86,6194.71,102409.11,101713.15,309735.54,per_trade_allocation,fixed_percent_risk,216.47,61.38,155.09,0.1514,0.1604,13,103804.79
fixed_fractional,equity,ITC_NS,2026-04-20,OPEN_EQUALS_HIGH,SHORT,2026-04-20T09:15:00+05:30,307.200012,307.399994,305.5,305.850006,0.0,0.1304,2026-04-20T15:05:00+05:30,305.350006,2026-04-20T15:10:00+05:30,305.288936,307.261452,301.343904,2026-04-20T15:20:00+05:30,304.660926,END_OF_DAY,0.671426,338,103245.18,1.0,687.48,1814.49,6194.71,103187.66,204122.26,309735.54,per_trade_allocation,fixed_percent_risk,212.27,61.85,150.42,0.1458,0.2188,3,103955.21
fixed_fractional,equity,KOTAKBANK_NS,2026-04-20,OPEN_EQUALS_HIGH,SHORT,2026-04-20T09:15:00+05:30,382.899994,382.950012,380.25,381.850006,0.0,-0.1434,2026-04-20T15:05:00+05:30,379.399994,2026-04-20T15:10:00+05:30,379.374122,382.976574,372.169219,2026-04-20T15:20:00+05:30,378.975774,END_OF_DAY,1.45714,6,103245.18,1.0,22.07,2501.97,6194.71,2276.24,307309.92,309735.54,gross_exposure,fixed_percent_risk,2.39,1.37,1.03,0.045,0.0464,3,103956.24
fixed_fractional,commodities,NGF,2026-04-20,OPEN_EQUALS_HIGH,SHORT,2026-04-20T09:15:00-04:00,2.694,2.694,2.686,2.691,967.0,0.6350,2026-04-20T09:30:00-04:00,2.678,2026-04-20T09:35:00-04:00,2.677464,2.694539,2.643316,2026-04-20T10:00:00-04:00,2.695078,STOP_LOSS,0.012071,38826,103956.24,1.0,683.86,310.7,6237.37,103955.22,103955.63,311868.72,per_trade_allocation,fixed_percent_risk,-683.86,62.58,-746.43,-0.718,-1.0915,6,103209.81
fixed_fractional,commodities,SIF,2026-04-20,OPEN_EQUALS_HIGH,SHORT,2026-04-20T09:15:00-04:00,80.139999,80.195,80.050003,80.18,225.0,-1.4692,2026-04-20T10:15:00-04:00,80.029999,2026-04-20T10:20:00-04:00,80.028989,80.156027,79.774913,2026-04-20T10:20:00-04:00,80.172059,STOP_LOSS,0.211071,1289,103209.81,1.0,184.42,310.7,6192.59,103157.37,103955.63,309629.43,per_trade_allocation,fixed_percent_risk,-184.42,61.95,-246.37,-0.2388,-1.3359,1,102963.44
fixed_fractional,commodities,HGF,2026-04-20,OPEN_EQUALS_LOW,LONG,2026-04-20T09:15:00-04:00,6.0515,6.059,6.0515,6.0575,186.0,-0.6159,2026-04-20T09:25:00-04:00,6.065,2026-04-20T09:30:00-04:00,6.067213,6.05029,6.10106,2026-04-20T10:50:00-04:00,6.049079,STOP_LOSS,0.007321,17134,103956.24,1.0,310.7,0.0,6237.37,103955.63,0.0,311868.72,per_trade_allocation,fixed_percent_risk,-310.7,62.28,-372.98,-0.3588,-1.2004,17,102590.46
fixed_fractional,equity,ITC_NS,2026-04-21,OPEN_EQUALS_LOW,LONG,2026-04-21T09:15:00+05:30,304.850006,305.700012,304.649994,305.700012,0.0,0.0821,2026-04-21T09:20:00+05:30,305.799988,2026-04-21T09:25:00+05:30,305.761152,304.789036,307.705384,2026-04-21T09:50:00+05:30,304.728078,STOP_LOSS,0.589284,335,102590.46,1.0,346.08,791.04,6155.43,102429.99,101829.91,307771.38,per_trade_allocation,fixed_percent_risk,-346.08,61.35,-407.43,-0.3978,-1.1773,6,102183.03
