period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2023-01,31,1,1,0,205,0,111,94,160,45,0,0,14,15,0,-238.35,-8.22,-6915.99,-238.48,-52375.59,2023-01-25,411.94,18115.59,2023-01-27,-534.34,-23217.99,3,4,1069.44,46923.79,0.0000
2023-02,28,1,0,0,148,0,71,77,109,39,0,0,17,10,0,1338.36,49.57,53324.22,1974.97,948.63,2023-02-21,542.97,21960.00,2023-02-07,-320.18,-13971.67,11,4,733.05,33022.88,91.1065
2023-03,31,1,3,0,168,1,85,83,118,49,1,0,17,10,0,2398.00,88.81,96007.27,3555.82,96955.92,2023-03-15,758.70,30473.90,2023-03-20,-204.95,-7223.13,4,3,273.52,11563.59,182.0046
2023-04,30,1,1,0,194,0,90,104,152,42,0,0,15,13,0,-1027.56,-36.70,-36725.87,-1311.64,60230.03,2023-04-13,386.79,12811.07,2023-04-25,-525.16,-19205.00,5,4,1413.75,50147.94,45.4329
2023-05,31,0,1,0,171,1,90,81,131,39,1,0,11,19,0,-1412.76,-47.09,-51111.43,-1703.71,9118.58,2023-05-24,254.44,9374.06,2023-05-30,-423.15,-15255.62,2,4,1676.56,60679.57,100.0136
2023-06,30,0,1,0,203,0,108,95,155,48,0,0,13,16,0,-895.75,-30.89,-36483.20,-1258.04,-27364.68,2023-06-16,375.62,14711.86,2023-06-12,-466.91,-18083.51,3,4,2009.78,72987.23,716.5593
2023-07,31,0,0,0,233,0,122,111,178,55,0,0,14,17,0,-675.72,-21.80,-22284.04,-718.84,-49648.76,2023-07-18,422.39,14114.06,2023-07-19,-683.03,-22799.62,3,3,924.65,30513.03,0.0000
2023-08,31,0,2,0,217,0,108,109,165,52,0,0,12,17,0,-511.73,-17.65,-21021.31,-724.87,-70670.09,2023-08-09,296.35,9979.84,2023-08-07,-286.66,-9890.12,3,5,1120.60,42405.46,0.0000
2023-09,30,2,0,0,244,0,111,133,196,48,0,0,7,21,0,-2084.00,-74.43,-79066.84,-2823.82,-149737.03,2023-09-14,366.51,13938.09,2023-09-27,-310.88,-11871.70,1,5,2099.25,79664.19,0.0000
2023-10,31,0,2,0,218,0,112,106,164,54,0,0,13,16,0,-253.10,-8.73,-5233.32,-180.46,-154970.33,2023-10-03,537.87,19563.44,2023-10-17,-547.26,-19263.90,4,5,1931.94,63494.02,0.0000
