date,status,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2022-02-18,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,385781.95,0,0,0.00,0.00,0.0000,
2022-02-19,TRADED,10,0,5,5,10,0,0,0,0,10,0,-772.75,-77.28,-13.60,-124.23,-19271.57,-1927.16,-339.39,-3110.00,366510.39,0,10,772.75,19271.56,4.9955,
2022-02-20,TRADED,3,0,1,2,2,1,0,0,1,2,0,198.21,66.07,258.77,-34.90,4967.99,1656.00,6479.75,-871.78,371478.38,1,2,60.56,1511.76,0.4125,
2022-02-21,TRADED,5,0,4,1,4,1,0,0,1,4,0,-115.15,-23.03,206.73,-111.77,-2979.92,-595.98,5340.82,-2900.10,368498.45,1,2,196.26,5081.93,1.3603,
2022-02-22,TRADED,2,0,2,0,2,0,0,0,0,2,0,-145.81,-72.91,-17.79,-128.02,-3873.75,-1936.88,-473.87,-3399.88,364624.70,0,2,145.81,3873.75,1.0512,
2022-02-23,TRADED,1,0,1,0,0,1,0,0,1,0,0,276.84,276.84,276.84,276.84,7340.51,7340.51,7340.51,7340.51,371965.21,1,0,0.00,0.00,0.0000,
2022-02-24,TRADED,1,0,1,0,1,0,0,0,0,1,0,-5.91,-5.91,-5.91,-5.91,-163.21,-163.21,-163.21,-163.21,371802.00,0,1,5.91,163.21,0.0439,
2022-02-25,TRADED,2,0,0,2,2,0,0,0,0,2,0,-36.97,-18.48,-4.64,-32.33,-955.52,-477.76,-120.04,-835.48,370846.48,0,2,36.97,955.52,0.2570,
2022-02-26,TRADED,11,0,7,4,10,1,0,0,1,10,0,-606.86,-55.17,118.90,-162.91,-15511.57,-1410.14,3027.33,-4175.04,355334.91,1,10,725.76,18538.90,4.9991,
2022-02-27,TRADED,7,0,3,4,4,3,0,0,3,4,0,277.08,39.58,262.05,-164.64,7065.57,1009.37,6699.36,-4242.52,362400.49,1,3,164.64,4242.51,1.1822,
2022-02-28,TRADED,6,0,3,3,6,0,0,0,0,6,0,-530.57,-88.43,-49.41,-175.06,-13877.53,-2312.92,-1286.90,-4605.24,348522.95,0,6,530.57,13877.54,3.8293,
2022-03-01,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,348522.95,0,0,0.00,0.00,0.0000,
2022-03-02,TRADED,10,0,7,3,10,0,0,0,0,10,0,-675.12,-67.51,-2.79,-161.11,-15314.87,-1531.49,-63.43,-3640.61,333208.07,0,10,675.12,15314.88,4.3942,
2022-03-03,TRADED,5,0,1,4,4,1,0,0,1,4,0,34.65,6.93,384.29,-144.70,781.03,156.21,8764.94,-3320.14,333989.11,1,3,204.94,4663.76,1.3997,
2022-03-04,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,333989.11,0,0,0.00,0.00,0.0000,
2022-03-05,TRADED,2,0,1,1,1,1,0,0,1,1,0,41.64,20.82,182.15,-140.51,1042.46,521.23,4629.28,-3586.82,335031.57,1,1,140.51,3586.82,1.0739,
2022-03-06,TRADED,7,0,4,3,5,2,0,0,2,5,0,362.10,51.73,391.48,-162.33,9328.18,1332.60,10001.82,-4111.53,344359.74,1,3,267.59,6785.65,2.0254,
2022-03-07,TRADED,4,0,2,2,2,2,0,0,2,2,0,141.46,35.36,258.48,-147.44,3605.16,901.29,6695.53,-3819.19,347964.90,1,1,147.44,3819.19,1.0857,
2022-03-08,TRADED,8,0,3,5,8,0,0,0,0,8,0,-456.76,-57.09,-6.94,-118.97,-11901.54,-1487.69,-181.60,-3105.16,336063.37,0,8,456.76,11901.53,3.4203,
2022-03-09,TRADED,2,0,1,1,1,1,0,0,1,1,0,133.51,66.75,190.62,-57.11,3438.49,1719.25,4919.26,-1480.77,339501.86,1,1,57.11,1480.77,0.4406,
2022-03-10,TRADED,1,0,1,0,1,0,0,0,0,1,0,-82.83,-82.83,-82.83,-82.83,-1980.49,-1980.49,-1980.49,-1980.49,337521.37,0,1,82.83,1980.49,0.5834,
2022-03-11,TRADED,9,0,2,7,6,3,0,0,3,6,0,155.53,17.28,278.56,-148.12,3851.72,427.97,7064.11,-3811.82,341373.09,2,5,354.46,9084.05,2.6362,
2022-03-12,TRADED,16,0,13,3,12,4,0,0,4,12,0,-216.56,-13.53,305.61,-185.07,-5515.58,-344.72,7803.70,-4721.82,335857.52,1,5,556.76,14219.99,4.1261,
2022-03-13,TRADED,14,0,4,10,12,2,0,0,2,12,0,-331.16,-23.65,214.73,-163.66,-8480.92,-605.78,5523.08,-4203.59,327376.62,1,7,545.89,14003.98,4.1696,
2022-03-14,TRADED,7,0,6,1,5,2,0,0,2,5,0,-292.60,-41.80,223.97,-191.81,-7538.85,-1076.98,5781.67,-4941.41,319837.77,1,4,534.89,13786.90,4.2053,
2022-03-15,TRADED,7,0,3,4,5,2,0,0,2,5,0,262.02,37.43,388.05,-192.32,6712.25,958.89,10008.44,-4960.63,326550.02,1,3,323.00,8318.34,2.6008,
2022-03-16,TRADED,5,0,3,2,3,2,0,0,2,3,0,642.89,128.58,363.47,-42.53,16376.08,3275.22,9275.66,-1085.79,342926.10,1,2,54.01,1379.24,0.4107,
2022-03-17,TRADED,12,0,5,7,11,1,0,0,1,11,0,-594.08,-49.51,191.23,-187.74,-14525.56,-1210.46,4684.78,-4572.93,328400.53,1,9,597.42,14617.00,4.2624,
2022-03-18,TRADED,8,0,2,6,7,1,0,0,1,7,0,-53.22,-6.65,400.13,-162.42,-1277.78,-159.72,9858.42,-3995.96,327122.75,1,5,288.57,7077.81,2.1552,
2022-03-19,TRADED,2,0,2,0,0,2,0,0,2,0,0,795.68,397.84,416.87,378.81,19006.27,9503.13,9923.72,9082.55,346129.02,2,0,0.00,0.00,0.0000,
2022-03-20,TRADED,11,0,5,6,8,3,0,0,3,8,0,168.68,15.33,329.26,-187.22,4063.49,369.41,7880.11,-4449.46,350192.51,2,8,492.42,11727.83,3.3370,
