trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,holding_days,remarks
T00029,2025-05-18,2025-05-18,2025-05-18,2025-05-17 23:30:00+00:00,2025-05-18 00:00:00+00:00,SHORT,103161.07,103194.15,2025-05-18 00:00:00+00:00,2025-05-18 00:30:00+00:00,103194.15,stop_loss_ma_touch,103194.15,-33.08,0,
T00030,2025-05-18,2025-05-18,2025-05-18,2025-05-18 00:00:00+00:00,2025-05-18 00:30:00+00:00,LONG,103299.20,103193.74,2025-05-18 01:30:00+00:00,2025-05-18 02:00:00+00:00,103198.97,stop_loss_ma_touch,103198.97,-100.23,0,
T00031,2025-05-18,2025-05-18,2025-05-18,2025-05-18 01:30:00+00:00,2025-05-18 02:00:00+00:00,LONG,103296.14,103208.03,2025-05-18 03:00:00+00:00,2025-05-18 03:30:00+00:00,103212.37,stop_loss_ma_touch,103212.37,-83.77,0,
T00032,2025-05-18,2025-05-18,2025-05-18,2025-05-18 03:00:00+00:00,2025-05-18 03:30:00+00:00,SHORT,103161.01,103209.11,2025-05-18 03:30:00+00:00,2025-05-18 04:00:00+00:00,103209.11,stop_loss_ma_touch,103209.11,-48.10,0,
T00033,2025-05-18,2025-05-18,2025-05-18,2025-05-18 03:30:00+00:00,2025-05-18 04:00:00+00:00,LONG,103320.92,103204.76,2025-05-18 19:30:00+00:00,2025-05-18 20:00:00+00:00,103921.66,stop_loss_ma_touch,103921.66,600.74,0,
T00034,2025-05-18,2025-05-18,2025-05-18,2025-05-18 19:30:00+00:00,2025-05-18 20:00:00+00:00,SHORT,103925.72,103937.03,2025-05-18 20:00:00+00:00,2025-05-18 20:30:00+00:00,103937.03,stop_loss_ma_touch,103937.03,-11.31,0,
T00035,2025-05-18,2025-05-18,2025-05-18,2025-05-18 20:00:00+00:00,2025-05-18 20:30:00+00:00,LONG,103972.47,103952.80,2025-05-18 20:30:00+00:00,2025-05-18 21:00:00+00:00,103952.80,stop_loss_ma_touch,103952.80,-19.67,0,
T00036,2025-05-18,2025-05-18,2025-05-18,2025-05-18 20:30:00+00:00,2025-05-18 21:00:00+00:00,LONG,104112.36,103967.49,2025-05-18 22:00:00+00:00,2025-05-18 22:30:00+00:00,104010.27,stop_loss_ma_touch,104010.27,-102.09,0,
T00037,2025-05-19,2025-05-18,2025-05-19,2025-05-18 22:00:00+00:00,2025-05-18 22:30:00+00:00,LONG,105103.43,104054.57,2025-05-19 03:00:00+00:00,2025-05-19 03:30:00+00:00,104474.17,stop_loss_ma_touch,104474.17,-629.26,1,
T00038,2025-05-19,2025-05-19,2025-05-19,2025-05-19 03:00:00+00:00,2025-05-19 03:30:00+00:00,SHORT,104220.70,104496.25,2025-05-19 14:30:00+00:00,2025-05-19 15:00:00+00:00,104113.71,stop_loss_ma_touch,104113.71,106.99,0,
T00039,2025-05-20,2025-05-19,2025-05-20,2025-05-19 14:30:00+00:00,2025-05-19 15:00:00+00:00,LONG,104367.08,104094.49,2025-05-20 08:30:00+00:00,2025-05-20 09:00:00+00:00,104889.93,stop_loss_ma_touch,104889.93,522.85,1,
