trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,holding_days,remarks
T00024,2025-05-16,2025-05-16,2025-05-16,2025-05-16 14:00:00+00:00,2025-05-16 15:00:00+00:00,SHORT,103619.05,103704.80,2025-05-16 15:00:00+00:00,2025-05-16 16:00:00+00:00,103704.80,stop_loss_ma_touch,103704.80,-85.75,0,
T00025,2025-05-16,2025-05-16,2025-05-16,2025-05-16 15:00:00+00:00,2025-05-16 16:00:00+00:00,LONG,104229.40,103744.08,2025-05-16 18:00:00+00:00,2025-05-16 19:00:00+00:00,103754.00,stop_loss_ma_touch,103754.00,-475.40,0,
T00026,2025-05-16,2025-05-16,2025-05-16,2025-05-16 18:00:00+00:00,2025-05-16 19:00:00+00:00,SHORT,103721.93,103796.07,2025-05-16 19:00:00+00:00,2025-05-16 20:00:00+00:00,103796.07,stop_loss_ma_touch,103796.07,-74.14,0,
T00027,2025-05-16,2025-05-16,2025-05-16,2025-05-16 19:00:00+00:00,2025-05-16 20:00:00+00:00,LONG,104069.32,103833.14,2025-05-16 20:00:00+00:00,2025-05-16 21:00:00+00:00,103833.14,stop_loss_ma_touch,103833.14,-236.18,0,
T00028,2025-05-17,2025-05-16,2025-05-17,2025-05-16 20:00:00+00:00,2025-05-16 21:00:00+00:00,SHORT,103718.91,103844.04,2025-05-17 05:00:00+00:00,2025-05-17 06:00:00+00:00,103708.05,stop_loss_ma_touch,103708.05,10.86,1,
T00029,2025-05-17,2025-05-17,2025-05-17,2025-05-17 05:00:00+00:00,2025-05-17 06:00:00+00:00,SHORT,103377.28,103684.83,2025-05-17 18:00:00+00:00,2025-05-17 19:00:00+00:00,103317.69,stop_loss_ma_touch,103317.69,59.59,0,
T00030,2025-05-17,2025-05-17,2025-05-17,2025-05-17 18:00:00+00:00,2025-05-17 19:00:00+00:00,SHORT,103027.95,103288.77,2025-05-17 20:00:00+00:00,2025-05-17 21:00:00+00:00,103252.06,stop_loss_ma_touch,103252.06,-224.11,0,
T00031,2025-05-17,2025-05-17,2025-05-17,2025-05-17 20:00:00+00:00,2025-05-17 21:00:00+00:00,LONG,103406.89,103239.06,2025-05-17 21:00:00+00:00,2025-05-17 22:00:00+00:00,103239.06,stop_loss_ma_touch,103239.06,-167.83,0,
T00032,2025-05-17,2025-05-17,2025-05-17,2025-05-17 21:00:00+00:00,2025-05-17 22:00:00+00:00,LONG,103286.46,103224.39,2025-05-17 22:00:00+00:00,2025-05-17 23:00:00+00:00,103224.39,stop_loss_ma_touch,103224.39,-62.07,0,
T00033,2025-05-18,2025-05-17,2025-05-18,2025-05-17 22:00:00+00:00,2025-05-17 23:00:00+00:00,SHORT,103073.44,103204.34,2025-05-17 23:00:00+00:00,2025-05-18 00:00:00+00:00,103204.34,stop_loss_ma_touch,103204.34,-130.90,1,
T00034,2025-05-18,2025-05-18,2025-05-18,2025-05-17 23:00:00+00:00,2025-05-18 00:00:00+00:00,SHORT,103161.07,103190.22,2025-05-18 00:00:00+00:00,2025-05-18 01:00:00+00:00,103190.22,stop_loss_ma_touch,103190.22,-29.15,0,
T00035,2025-05-18,2025-05-18,2025-05-18,2025-05-18 00:00:00+00:00,2025-05-18 01:00:00+00:00,LONG,103408.28,103191.31,2025-05-18 01:00:00+00:00,2025-05-18 02:00:00+00:00,103191.31,stop_loss_ma_touch,103191.31,-216.97,0,
T00036,2025-05-18,2025-05-18,2025-05-18,2025-05-18 01:00:00+00:00,2025-05-18 02:00:00+00:00,LONG,103296.14,103209.43,2025-05-18 03:00:00+00:00,2025-05-18 04:00:00+00:00,103212.39,stop_loss_ma_touch,103212.39,-83.75,0,
T00037,2025-05-18,2025-05-18,2025-05-18,2025-05-18 03:00:00+00:00,2025-05-18 04:00:00+00:00,LONG,103320.92,103203.70,2025-05-18 19:00:00+00:00,2025-05-18 20:00:00+00:00,103933.86,stop_loss_ma_touch,103933.86,612.94,0,
