trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,quantity_btc,entry_notional_usd,exit_notional_usd,gross_pnl_usd,trade_return_pct,cumulative_pnl_usd,equity_after_trade,holding_days,remarks
T00027,2025-05-17,2025-05-17,2025-05-17,2025-05-17 05:00:00+00:00,2025-05-17 05:15:00+00:00,SHORT,103612.68,103693.42,2025-05-17 07:15:00+00:00,2025-05-17 07:30:00+00:00,103650.95,stop_loss_ma_touch,103650.95,-38.27,9.65132839,1000000.00,1000369.36,-369.36,-0.0369,-16896.08,983103.92,0,
T00028,2025-05-17,2025-05-17,2025-05-17,2025-05-17 07:15:00+00:00,2025-05-17 07:30:00+00:00,SHORT,103639.41,103646.12,2025-05-17 07:30:00+00:00,2025-05-17 07:45:00+00:00,103646.12,stop_loss_ma_touch,103646.12,-6.71,9.64883918,1000000.00,1000064.74,-64.74,-0.0065,-16960.82,983039.18,0,
T00029,2025-05-17,2025-05-17,2025-05-17,2025-05-17 07:30:00+00:00,2025-05-17 07:45:00+00:00,SHORT,103504.95,103642.33,2025-05-17 18:00:00+00:00,2025-05-17 18:15:00+00:00,103331.41,stop_loss_ma_touch,103331.41,173.54,9.66137368,1000000.00,998323.37,1676.63,0.1677,-15284.18,984715.82,0,
T00030,2025-05-17,2025-05-17,2025-05-17,2025-05-17 18:00:00+00:00,2025-05-17 18:15:00+00:00,SHORT,103260.75,103323.32,2025-05-17 18:15:00+00:00,2025-05-17 18:30:00+00:00,103323.32,stop_loss_ma_touch,103323.32,-62.57,9.68422174,1000000.00,1000605.94,-605.94,-0.0606,-15890.13,984109.87,0,
T00031,2025-05-17,2025-05-17,2025-05-17,2025-05-17 18:15:00+00:00,2025-05-17 18:30:00+00:00,SHORT,103239.30,103316.30,2025-05-17 20:30:00+00:00,2025-05-17 20:45:00+00:00,103257.18,stop_loss_ma_touch,103257.18,-17.88,9.68623383,1000000.00,1000173.19,-173.19,-0.0173,-16063.32,983936.68,0,
T00032,2025-05-17,2025-05-17,2025-05-17,2025-05-17 20:30:00+00:00,2025-05-17 20:45:00+00:00,LONG,103281.27,103253.41,2025-05-17 20:45:00+00:00,2025-05-17 21:00:00+00:00,103253.41,stop_loss_ma_touch,103253.41,-27.86,9.68229767,1000000.00,999730.25,-269.75,-0.0270,-16333.06,983666.94,0,
T00033,2025-05-17,2025-05-17,2025-05-17,2025-05-17 20:45:00+00:00,2025-05-17 21:00:00+00:00,LONG,103406.89,103250.16,2025-05-17 21:15:00+00:00,2025-05-17 21:30:00+00:00,103246.51,stop_loss_ma_touch,103246.51,-160.38,9.67053549,1000000.00,998449.04,-1550.96,-0.1551,-17884.03,982115.97,0,
T00034,2025-05-17,2025-05-17,2025-05-17,2025-05-17 21:15:00+00:00,2025-05-17 21:30:00+00:00,LONG,103248.64,103242.85,2025-05-17 21:30:00+00:00,2025-05-17 21:45:00+00:00,103242.85,stop_loss_ma_touch,103242.85,-5.79,9.68535760,1000000.00,999943.92,-56.08,-0.0056,-17940.10,982059.90,0,
T00035,2025-05-17,2025-05-17,2025-05-17,2025-05-17 21:30:00+00:00,2025-05-17 21:45:00+00:00,LONG,103263.95,103237.75,2025-05-17 21:45:00+00:00,2025-05-17 22:00:00+00:00,103237.75,stop_loss_ma_touch,103237.75,-26.20,9.68392164,1000000.00,999746.28,-253.72,-0.0254,-18193.82,981806.18,0,
T00036,2025-05-17,2025-05-17,2025-05-17,2025-05-17 21:45:00+00:00,2025-05-17 22:00:00+00:00,LONG,103286.46,103234.08,2025-05-17 22:00:00+00:00,2025-05-17 22:15:00+00:00,103234.08,stop_loss_ma_touch,103234.08,-52.38,9.68181115,1000000.00,999492.87,-507.13,-0.0507,-18700.96,981299.04,0,
T00037,2025-05-17,2025-05-17,2025-05-17,2025-05-17 22:00:00+00:00,2025-05-17 22:15:00+00:00,SHORT,103039.01,103229.28,2025-05-17 23:15:00+00:00,2025-05-17 23:30:00+00:00,103209.12,stop_loss_ma_touch,103209.12,-170.11,9.70506219,1000000.00,1001650.93,-1650.93,-0.1651,-20351.88,979648.12,0,
