target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
2,equity,ITC_NS,2026-04-22,INVERSE_BUY,BUY,SHORT,2026-04-22T11:55:00+05:30,2026-04-22T12:00:00+05:30,307.0,306.9386,307.702955,305.59409,306.297045,305.59409,304.891135,304.188179,303.485224,0.468637,0.702955,306.673624,306.634592,306.681682,55.7192,-0.022758,-0.11715,15.9493,728230.0,291414.6,85.71,0.0,STRONG BULL,325,99755.04,268.42,0,7,2026-04-22T12:30:00+05:30,306.611298,OPPOSITE_SIGNAL,106.37,59.82,46.55,0.0467,0.1734
2,equity,ITC_NS,2026-04-22,INVERSE_SELL,SELL,LONG,2026-04-22T12:25:00+05:30,2026-04-22T12:30:00+05:30,306.399994,306.611298,305.740006,307.71997,307.059982,307.71997,308.379958,309.039946,309.699934,0.439992,0.659988,306.67187,306.67371,306.713893,44.5648,-0.013204,-0.018049,19.4773,219264.0,321353.5,14.29,57.14,STRONG BEAR,326,99955.28,303.98,0,17,2026-04-22T13:50:00+05:30,305.678858,STOP_LOSS,-303.98,59.88,-363.86,-0.364,-1.197
2,equity,ITC_NS,2026-04-23,INVERSE_BUY,BUY,SHORT,2026-04-23T09:55:00+05:30,2026-04-23T10:00:00+05:30,305.950012,305.838814,306.697681,304.454675,305.202344,304.454675,303.707007,302.959338,302.21167,0.498446,0.747668,305.438159,305.429015,304.960435,57.3033,-0.085565,-0.219097,24.4347,109712.0,301227.25,71.43,0.0,STRONG BULL,326,99703.45,299.99,1,8,2026-04-23T10:35:00+05:30,305.110998,OPPOSITE_SIGNAL,237.27,59.75,177.52,0.178,0.5917
2,equity,ITC_NS,2026-04-23,INVERSE_SELL,SELL,LONG,2026-04-23T10:30:00+05:30,2026-04-23T10:35:00+05:30,305.049988,305.110998,304.364449,306.421066,305.735527,306.421066,307.106605,307.792144,308.477683,0.457026,0.685539,305.469701,305.499364,305.207935,42.2105,-0.045281,-0.04302,22.7703,87361.0,229221.65,0.0,71.43,STRONG BEAR,327,99771.3,264.03,0,25,2026-04-23T12:35:00+05:30,305.038986,OPPOSITE_SIGNAL,-23.55,59.86,-83.4,-0.0836,-0.3159
2,equity,ITC_NS,2026-04-23,INVERSE_BUY,BUY,SHORT,2026-04-23T12:30:00+05:30,2026-04-23T12:35:00+05:30,305.100006,305.038986,305.628326,304.043367,304.571687,304.043367,303.515047,302.986728,302.458408,0.352213,0.52832,304.992195,304.989455,305.027134,51.6303,-0.034015,-0.075945,22.127,83520.0,86052.65,71.43,0.0,STRONG BULL,327,99747.75,212.7,0,2,2026-04-23T12:40:00+05:30,305.061,OPPOSITE_SIGNAL,-7.2,59.85,-67.05,-0.0672,-0.3152
2,equity,ITC_NS,2026-04-23,INVERSE_SELL,SELL,LONG,2026-04-23T12:35:00+05:30,2026-04-23T12:40:00+05:30,304.950012,305.061,304.427285,305.995467,305.472739,305.995467,306.518194,307.040921,307.563649,0.348485,0.522727,304.983759,304.985869,305.025598,48.6389,-0.033919,-0.06754,21.7873,90588.0,86715.9,14.29,71.43,STRONG BEAR,327,99754.95,227.13,0,8,2026-04-23T13:15:00+05:30,304.988978,OPPOSITE_SIGNAL,-23.55,59.85,-83.4,-0.0836,-0.3672
2,equity,ITC_NS,2026-04-23,INVERSE_BUY,BUY,SHORT,2026-04-23T13:10:00+05:30,2026-04-23T13:15:00+05:30,305.049988,304.988978,305.510211,304.129542,304.589765,304.129542,303.669319,303.209096,302.748873,0.306815,0.460223,304.963778,304.9602,305.004957,51.7821,-0.019975,-0.04587,18.8405,148776.0,97624.3,71.43,0.0,STRONG BULL,327,99731.4,190.42,0,2,2026-04-23T13:20:00+05:30,305.571313,STOP_LOSS,-190.42,59.9,-250.32,-0.251,-1.3146
2,equity,ITC_NS,2026-04-23,INVERSE_SELL,SELL,LONG,2026-04-23T14:10:00+05:30,2026-04-23T14:15:00+05:30,304.75,304.81095,304.259148,305.731705,305.240852,305.731705,306.222557,306.71341,307.204262,0.327235,0.490852,305.027135,305.060523,305.053606,42.5596,-0.01381,0.027112,13.5551,102590.0,112040.55,0.0,71.43,STRONG BEAR,328,99977.99,200.95,1,11,2026-04-23T15:05:00+05:30,305.238928,OPPOSITE_SIGNAL,140.38,60.03,80.35,0.0804,0.3998
2,equity,ITC_NS,2026-04-23,INVERSE_BUY,BUY,SHORT,2026-04-23T15:00:00+05:30,2026-04-23T15:05:00+05:30,305.200012,305.238928,305.678553,304.24293,304.721471,304.24293,303.764389,303.285848,302.807307,0.319027,0.478541,305.049537,305.034749,305.035771,54.5647,0.003164,-0.017236,8.7697,296325.0,142217.8,85.71,0.0,STRONG BULL,327,99813.13,163.75,0,4,2026-04-23T15:20:00+05:30,305.31105,SESSION_END,-23.58,59.89,-83.48,-0.0836,-0.5098
2,equity,ITC_NS,2026-04-24,INVERSE_SELL,SELL,LONG,2026-04-24T09:15:00+05:30,2026-04-24T09:20:00+05:30,303.700012,303.960774,302.894814,305.31041,304.505211,305.31041,306.115608,306.920807,307.726006,0.536799,0.805199,304.871241,304.972643,304.516673,27.4305,-0.070275,-0.002774,13.0072,0.0,171110.9,0.0,71.43,STRONG BEAR,328,99699.13,369.5,0,3,2026-04-24T09:30:00+05:30,302.834235,STOP_LOSS,-369.5,59.71,-429.21,-0.4305,-1.1616
