date,status,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2022-03-12,TRADED,15,0,12,3,13,2,0,0,2,13,0,-560.42,-37.36,190.39,-185.07,-14298.58,-953.24,4891.91,-4721.82,710680.69,1,9,750.81,19190.48,2.6293,
2022-03-13,TRADED,14,0,4,10,12,2,0,0,2,12,0,-121.60,-8.69,322.09,-163.66,-3097.64,-221.26,8284.62,-4203.59,707583.07,1,7,443.69,11382.24,1.6016,
2022-03-14,TRADED,7,0,6,1,5,2,0,0,2,5,0,-126.52,-18.07,335.95,-191.81,-3248.61,-464.09,8672.51,-4941.41,704334.46,1,4,534.89,13786.90,1.9433,
2022-03-15,TRADED,7,0,3,4,5,2,0,0,2,5,0,625.47,89.35,582.07,-192.32,16058.39,2294.06,15012.66,-4960.63,720392.85,1,3,323.00,8318.34,1.1810,
2022-03-16,TRADED,5,0,3,2,3,2,0,0,2,3,0,995.69,199.14,545.20,-42.53,25362.75,5072.55,13913.49,-1085.79,745755.60,1,2,54.01,1379.25,0.1878,
2022-03-17,TRADED,11,0,5,6,11,0,0,0,0,11,0,-797.37,-72.49,-22.90,-187.74,-19506.60,-1773.33,-561.98,-4572.93,726248.99,0,11,797.37,19506.61,2.6157,
2022-03-18,TRADED,7,0,2,5,7,0,0,0,0,7,0,-480.30,-68.61,-12.24,-162.42,-11801.44,-1685.92,-298.98,-3995.96,714447.55,0,7,480.30,11801.44,1.6250,
2022-03-19,TRADED,1,0,1,0,0,1,0,0,1,0,0,568.22,568.22,568.22,568.22,13623.82,13623.82,13623.82,13623.82,728071.37,1,0,0.00,0.00,0.0000,
2022-03-20,TRADED,11,0,5,6,8,3,0,0,3,8,0,499.24,45.39,493.90,-187.22,11959.15,1087.20,11820.16,-4449.46,740030.52,2,8,492.42,11727.83,1.5933,
2022-03-21,TRADED,13,0,6,7,12,1,0,0,1,12,0,-587.82,-45.22,475.18,-205.45,-14345.46,-1103.50,11466.30,-4996.58,725685.04,1,12,1063.00,25811.78,3.4347,
2022-03-22,TRADED,5,0,4,1,3,2,0,0,2,3,0,354.71,70.94,319.08,-93.55,8468.45,1693.69,7743.85,-2280.71,734153.49,2,3,167.22,4070.57,0.5609,
2022-03-23,TRADED,8,0,3,5,7,1,0,0,1,7,0,-261.10,-32.64,326.48,-135.46,-6174.29,-771.79,7696.21,-3183.11,727979.21,1,5,353.25,8354.36,1.1346,
2022-03-24,TRADED,2,0,2,0,1,1,0,0,1,1,0,305.43,152.72,419.69,-114.26,7227.92,3613.96,9895.27,-2667.35,735207.13,1,1,114.26,2667.35,0.3615,
2022-03-25,TRADED,5,0,4,1,5,0,0,0,0,5,0,-674.63,-134.93,-25.34,-192.56,-15245.47,-3049.09,-573.83,-4382.90,719961.67,0,5,674.63,15245.46,2.0736,
2022-03-26,TRADED,16,0,10,6,16,0,0,0,0,16,0,-884.27,-55.27,-0.74,-195.44,-19898.53,-1243.66,-16.73,-4382.44,700063.12,0,16,884.27,19898.55,2.7638,
2022-03-27,TRADED,7,0,5,2,4,3,0,0,3,4,0,875.84,125.12,632.46,-83.78,19562.97,2794.71,14095.53,-1878.34,719626.11,1,2,151.28,3395.23,0.4789,
2022-03-28,HELD,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,719626.11,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
