target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,slippage_points,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
1,commodities,HGF,2026-04-01,SELL,SELL,SHORT,2026-04-01T14:10:00-04:00,2026-04-01T14:15:00-04:00,5.634,5.6345,5.642352,5.625648,5.625648,5.617296,5.608945,5.600593,5.592241,0.005568,0.008352,5.640865,5.641279,5.627718,42.2189,0.001662,0.004453,24.4046,59.0,304.3,14.29,57.14,STRONG BEAR,177478,999999.8,1393.47,0.0,1,1,2026-04-01T14:15:00-04:00,5.625648,TP1,1571.01,0.0,1571.01,0.1571,1.1274
1,commodities,HGF,2026-04-02,BUY,BUY,LONG,2026-04-02T10:35:00-04:00,2026-04-02T10:40:00-04:00,5.6125,5.612,5.595009,5.629992,5.629992,5.647483,5.664975,5.682466,5.699958,0.011661,0.017492,5.586642,5.584943,5.574632,61.8945,-0.003124,-0.009941,27.6871,1586.0,433.4,100.0,0.0,STRONG BULL,178189,999996.67,3027.66,0.0,0,9,2026-04-02T11:20:00-04:00,5.595009,STOP_LOSS,-3027.67,0.0,-3027.67,-0.3028,-1.0
1,commodities,HGF,2026-04-02,SELL,SELL,SHORT,2026-04-02T11:55:00-04:00,2026-04-02T12:00:00-04:00,5.5885,5.5885,5.603723,5.573277,5.573277,5.558054,5.54283,5.527607,5.512384,0.010149,0.015223,5.596048,5.596182,5.585321,44.4299,0.000333,0.001557,16.9335,438.0,461.25,14.29,57.14,STRONG BEAR,178938,999995.02,2724.01,0.0,0,22,2026-04-02T13:45:00-04:00,5.5915,OPPOSITE_SIGNAL,-536.78,0.0,-536.78,-0.0537,-0.1971
1,commodities,HGF,2026-04-02,BUY,BUY,LONG,2026-04-02T13:40:00-04:00,2026-04-02T13:45:00-04:00,5.592,5.5915,5.582497,5.601503,5.601503,5.611007,5.62051,5.630013,5.639516,0.006336,0.009503,5.588343,5.588006,5.585208,54.1664,-0.00047,-0.001588,11.7194,66.0,229.6,71.43,0.0,STRONG BULL,178842,999995.01,1610.13,0.0,1,17,2026-04-02T15:05:00-04:00,5.601503,TP1,1789.01,0.0,1789.01,0.1789,1.1111
1,commodities,HGF,2026-04-06,SELL,SELL,SHORT,2026-04-06T10:05:00-04:00,2026-04-06T10:10:00-04:00,5.5875,5.5885,5.606438,5.568562,5.568562,5.549624,5.530686,5.511748,5.49281,0.012625,0.018938,5.603888,5.604958,5.61025,40.8483,0.001286,0.004939,37.4494,387.0,307.3,0.0,100.0,STRONG BEAR,178938,999995.02,3209.81,0.0,0,2,2026-04-06T10:15:00-04:00,5.606438,STOP_LOSS,-3209.81,0.0,-3209.81,-0.321,-1.0
1,commodities,HGF,2026-04-06,BUY,BUY,LONG,2026-04-06T10:20:00-04:00,2026-04-06T10:25:00-04:00,5.622,5.6215,5.602244,5.641756,5.641756,5.661513,5.681269,5.701025,5.720782,0.013171,0.019756,5.607159,5.606108,5.608539,58.4277,0.002084,0.003148,34.5278,290.0,346.8,71.43,14.29,STRONG BULL,177888,999997.39,3425.43,0.0,0,3,2026-04-06T10:35:00-04:00,5.602244,STOP_LOSS,-3425.42,0.0,-3425.42,-0.3425,-1.0
1,commodities,HGF,2026-04-06,SELL,SELL,SHORT,2026-04-06T10:45:00-04:00,2026-04-06T10:50:00-04:00,5.588,5.589,5.607755,5.568245,5.568245,5.54849,5.528735,5.508981,5.489226,0.01317,0.019755,5.603352,5.605138,5.607505,41.5658,-0.000234,0.002119,28.0185,276.0,394.65,0.0,85.71,STRONG BEAR,178922,999995.1,3355.58,0.0,0,20,2026-04-06T12:25:00-04:00,5.5985,OPPOSITE_SIGNAL,-1699.72,0.0,-1699.72,-0.17,-0.5065
1,commodities,HGF,2026-04-06,BUY,BUY,LONG,2026-04-06T12:20:00-04:00,2026-04-06T12:25:00-04:00,5.5985,5.5985,5.586272,5.610728,5.610728,5.622956,5.635184,5.647412,5.659641,0.008152,0.012228,5.593958,5.593484,5.599264,53.7008,-0.000735,-0.002593,14.1096,71.0,169.3,57.14,14.29,STRONG BULL,178619,999998.43,2184.18,0.0,0,21,2026-04-06T14:05:00-04:00,5.595,OPPOSITE_SIGNAL,-625.2,0.0,-625.2,-0.0625,-0.2862
1,commodities,HGF,2026-04-06,SELL,SELL,SHORT,2026-04-06T14:00:00-04:00,2026-04-06T14:05:00-04:00,5.596,5.595,5.60556,5.58644,5.58644,5.576881,5.567321,5.557761,5.548201,0.006373,0.00956,5.599268,5.599455,5.599678,46.0999,0.000453,0.001503,11.8842,13.0,168.65,0.0,71.43,STRONG BEAR,178731,999999.91,1887.43,0.0,0,2,2026-04-06T14:10:00-04:00,5.60556,STOP_LOSS,-1887.39,0.0,-1887.39,-0.1887,-1.0
1,commodities,HGF,2026-04-06,BUY,BUY,LONG,2026-04-06T14:10:00-04:00,2026-04-06T14:15:00-04:00,5.603,5.605,5.592844,5.613156,5.613156,5.623312,5.633469,5.643625,5.653781,0.006771,0.010156,5.599572,5.599533,5.599812,54.5458,0.000462,0.001081,13.0375,245.0,171.35,71.43,14.29,STRONG BULL,178412,999999.26,2168.78,0.0,1,5,2026-04-06T14:35:00-04:00,5.613156,TP1,1455.18,0.0,1455.18,0.1455,0.671
