date,status,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2022-02-19,TRADED,17,0,7,10,16,1,0,0,1,16,0,-945.61,-55.62,137.55,-193.85,-23581.49,-1387.15,3435.67,-4860.07,371653.53,1,11,945.61,23581.48,5.9664,
2022-02-20,TRADED,4,0,2,2,3,1,0,0,1,3,0,178.69,44.67,252.15,-36.58,4449.95,1112.49,6312.00,-941.97,376103.47,1,2,36.88,941.97,0.2498,
2022-02-21,TRADED,8,0,5,3,5,3,0,0,3,5,0,71.12,8.89,301.04,-176.20,1882.94,235.37,7795.48,-4538.05,377986.40,1,3,465.78,12020.10,3.0820,
2022-02-22,TRADED,8,0,6,2,7,1,0,0,1,7,0,-258.71,-32.34,241.49,-169.72,-6861.18,-857.65,6440.59,-4504.53,371125.23,1,7,500.20,13301.76,3.5191,
2022-02-23,TRADED,1,0,1,0,0,1,0,0,1,0,0,332.73,332.73,332.73,332.73,8822.52,8822.52,8822.52,8822.52,379947.74,1,0,0.00,0.00,0.0000,
2022-02-24,TRADED,2,0,1,1,2,0,0,0,0,2,0,-63.79,-31.90,-4.09,-59.70,-1763.00,-881.50,-112.95,-1650.05,378184.74,0,2,63.79,1763.00,0.4640,
2022-02-25,TRADED,5,0,4,1,3,2,0,0,2,3,0,184.74,36.95,322.64,-170.13,4735.11,947.02,8284.12,-4377.83,382919.84,2,3,215.44,5549.11,1.4673,
2022-02-26,TRADED,18,0,8,10,15,3,0,0,3,15,0,-296.05,-16.45,330.20,-182.54,-7633.38,-424.08,8389.33,-4680.46,375286.47,1,11,839.16,21447.43,5.5761,
2022-02-27,TRADED,12,0,5,7,9,3,0,0,3,9,0,211.47,17.62,264.05,-166.81,5423.09,451.92,6750.46,-4298.35,380709.56,1,5,270.19,6940.80,1.8495,
2022-02-28,TRADED,9,0,4,5,9,0,0,0,0,9,0,-614.69,-68.30,-24.54,-122.74,-16055.78,-1783.98,-639.26,-3222.50,364653.77,0,9,614.69,16055.79,4.2173,
2022-03-01,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,364653.77,0,0,0.00,0.00,0.0000,
2022-03-02,TRADED,17,0,10,7,15,2,0,0,2,15,0,-562.32,-33.08,394.97,-218.43,-12743.96,-749.64,8991.40,-4941.90,351909.81,1,8,957.29,21735.36,5.8171,
2022-03-03,TRADED,9,0,2,7,7,2,0,0,2,7,0,-151.48,-16.83,365.68,-171.91,-3499.35,-388.82,8340.52,-3945.45,348410.45,2,5,420.63,9640.73,2.6926,
2022-03-04,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,348410.45,0,0,0.00,0.00,0.0000,
2022-03-05,TRADED,3,0,2,1,1,2,0,0,2,1,0,324.77,108.26,267.96,-116.08,8248.01,2749.34,6817.32,-2963.19,356658.46,2,1,116.08,2963.18,0.8505,
2022-03-06,TRADED,12,0,7,5,9,3,0,0,3,9,0,98.30,8.19,371.43,-174.34,2654.08,221.17,9489.39,-4422.14,359312.55,1,4,454.43,11523.13,3.2309,
2022-03-07,TRADED,5,0,2,3,4,1,0,0,1,4,0,-155.04,-31.01,234.78,-132.21,-4077.00,-815.40,6081.63,-3447.49,355235.54,1,3,257.61,6711.14,1.8542,
2022-03-08,TRADED,18,0,9,9,16,2,0,0,2,16,0,-634.14,-35.23,336.76,-164.35,-16525.51,-918.08,8766.42,-4279.50,338710.05,1,9,657.71,17138.26,4.8245,
2022-03-09,TRADED,1,0,1,0,0,1,0,0,1,0,0,245.47,245.47,245.47,245.47,6335.78,6335.78,6335.78,6335.78,345045.82,1,0,0.00,0.00,0.0000,
2022-03-10,TRADED,2,0,2,0,2,0,0,0,0,2,0,-249.94,-124.97,-111.96,-137.98,-5969.14,-2984.57,-2676.88,-3292.26,339076.68,0,2,249.94,5969.14,1.7300,
2022-03-11,TRADED,16,0,6,10,11,5,0,0,5,11,0,337.98,21.12,385.19,-175.36,8460.00,528.75,9799.93,-4458.68,347536.69,2,8,651.61,16680.19,4.7121,
2022-03-12,TRADED,28,0,22,6,26,2,0,0,2,26,0,-1056.69,-37.74,219.05,-170.58,-26993.84,-964.07,5598.99,-4351.23,320542.86,1,17,1197.06,30600.54,8.7145,
2022-03-13,TRADED,22,0,9,13,17,5,0,0,5,17,0,-22.58,-1.03,376.80,-183.46,-499.55,-22.71,9713.67,-4713.02,320043.33,2,12,690.14,17667.14,5.5116,
2022-03-14,TRADED,12,0,9,3,10,2,0,0,2,10,0,-373.14,-31.10,259.83,-183.01,-9652.15,-804.35,6704.37,-4711.85,310391.19,1,7,775.39,20022.61,6.1854,
2022-03-15,TRADED,11,0,4,7,8,3,0,0,3,8,0,-60.58,-5.51,345.53,-182.35,-1625.22,-147.75,8854.81,-4716.24,308765.97,1,4,406.11,10480.03,3.3764,
2022-03-16,TRADED,7,0,4,3,4,3,0,0,3,4,0,465.54,66.51,362.91,-174.82,11913.90,1701.99,9261.48,-4397.71,320679.86,2,2,186.61,4692.86,1.4423,
2022-03-17,TRADED,20,0,12,8,19,1,0,0,1,19,0,-1360.90,-68.04,169.00,-158.61,-33298.83,-1664.94,4140.19,-3865.73,287381.03,1,15,1360.90,33298.83,10.3838,
2022-03-18,TRADED,13,0,3,10,12,1,0,0,1,12,0,-483.60,-37.20,221.50,-171.41,-11876.88,-913.61,5444.31,-4217.31,275504.15,1,8,483.60,11876.88,4.1328,
2022-03-19,TRADED,5,0,4,1,1,4,0,0,4,1,0,1081.60,216.32,413.96,-22.40,25832.07,5166.41,9925.41,-535.58,301336.22,3,1,22.40,535.58,0.1807,
2022-03-20,TRADED,16,0,7,9,13,3,0,0,3,13,0,-60.34,-3.77,297.49,-190.41,-1352.17,-84.51,7118.39,-4525.27,299984.03,3,13,705.65,16810.16,5.5785,
2022-03-21,TRADED,22,0,11,11,18,4,0,0,4,18,0,-773.00,-35.14,318.67,-203.19,-18859.53,-857.25,7689.67,-4941.61,281124.51,1,12,1248.07,30343.59,9.8623,
2022-03-22,TRADED,7,0,4,3,5,2,0,0,2,5,0,-76.97,-11.00,223.66,-134.75,-1873.22,-267.60,5427.98,-3166.32,279251.30,2,4,294.00,7163.50,2.5482,
2022-03-23,TRADED,13,0,7,6,10,3,0,0,3,10,0,-501.41,-38.57,177.20,-193.13,-11856.81,-912.06,4177.42,-4541.48,267394.51,2,9,752.92,17779.24,6.2972,
2022-03-24,TRADED,1,0,1,0,1,0,0,0,0,1,0,-103.36,-103.36,-103.36,-103.36,-2412.96,-2412.96,-2412.96,-2412.96,264981.55,0,1,103.36,2412.96,0.9024,
2022-03-25,TRADED,9,0,8,1,8,1,0,0,1,8,0,-440.69,-48.97,368.03,-201.16,-9898.66,-1099.85,8376.76,-4578.66,255082.88,1,7,607.56,13696.77,5.0959,
2022-03-26,TRADED,26,0,15,11,23,3,0,0,3,23,0,-866.26,-33.32,129.61,-193.87,-19499.86,-749.99,2917.48,-4347.25,235583.03,1,16,904.19,20355.43,7.9533,
2022-03-27,TRADED,7,0,5,2,5,2,0,0,2,5,0,307.67,43.95,425.11,-85.53,6847.09,978.16,9474.46,-1917.07,242430.12,1,5,269.29,6041.25,2.5278,
