trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00048,2025-05-17,2025-05-17 22:15:00+00:00,LONG,-507.09,1029.64,1001029.64,1026817.35,25787.71,2.5114
T00049,2025-05-17,2025-05-17 23:30:00+00:00,SHORT,-1650.96,-621.33,999378.67,1026817.35,27438.68,2.6722
T00050,2025-05-17,2025-05-17 23:45:00+00:00,SHORT,-84.79,-706.12,999293.88,1026817.35,27523.47,2.6805
T00051,2025-05-18,2025-05-18 00:00:00+00:00,SHORT,-83.17,-789.29,999210.71,1026817.35,27606.64,2.6886
T00052,2025-05-18,2025-05-18 00:15:00+00:00,SHORT,-348.79,-1138.09,998861.91,1026817.35,27955.44,2.7225
T00053,2025-05-18,2025-05-18 00:30:00+00:00,LONG,-687.91,-1826.00,998174.00,1026817.35,28643.35,2.7895
T00054,2025-05-18,2025-05-18 02:00:00+00:00,LONG,-932.05,-2758.05,997241.95,1026817.35,29575.40,2.8803
T00055,2025-05-18,2025-05-18 03:30:00+00:00,LONG,-777.84,-3535.89,996464.11,1026817.35,30353.24,2.9561
T00056,2025-05-18,2025-05-18 03:45:00+00:00,SHORT,-515.22,-4051.11,995948.89,1026817.35,30868.46,3.0062
T00057,2025-05-18,2025-05-18 06:00:00+00:00,LONG,2097.01,-1954.10,998045.90,1026817.35,28771.45,2.8020
T00058,2025-05-18,2025-05-18 13:45:00+00:00,LONG,8403.89,6449.79,1006449.79,1026817.35,20367.56,1.9836
T00059,2025-05-18,2025-05-18 20:00:00+00:00,LONG,-3504.81,2944.98,1002944.98,1026817.35,23872.37,2.3249
T00060,2025-05-18,2025-05-18 20:15:00+00:00,SHORT,76.88,3021.85,1003021.85,1026817.35,23795.50,2.3174
T00061,2025-05-18,2025-05-18 20:45:00+00:00,LONG,-277.94,2743.91,1002743.91,1026817.35,24073.44,2.3445
T00062,2025-05-18,2025-05-18 22:15:00+00:00,LONG,-1892.80,851.11,1000851.11,1026817.35,25966.24,2.5288
T00063,2025-05-18,2025-05-18 22:30:00+00:00,LONG,2442.22,3293.32,1003293.32,1026817.35,23524.03,2.2910
T00064,2025-05-19,2025-05-19 02:45:00+00:00,LONG,3919.25,7212.58,1007212.58,1026817.35,19604.77,1.9093
T00065,2025-05-19,2025-05-19 03:15:00+00:00,LONG,-2039.86,5172.71,1005172.71,1026817.35,21644.64,2.1079
T00066,2025-05-19,2025-05-19 04:00:00+00:00,SHORT,5251.81,10424.52,1010424.52,1026817.35,16392.83,1.5965
T00067,2025-05-19,2025-05-19 15:00:00+00:00,SHORT,-3029.35,7395.17,1007395.17,1026817.35,19422.18,1.8915
T00068,2025-05-19,2025-05-19 15:45:00+00:00,LONG,5536.18,12931.35,1012931.35,1026817.35,13886.00,1.3523
T00069,2025-05-20,2025-05-20 08:45:00+00:00,LONG,-2477.78,10453.57,1010453.57,1026817.35,16363.78,1.5936
T00070,2025-05-20,2025-05-20 11:00:00+00:00,LONG,-1056.17,9397.40,1009397.40,1026817.35,17419.95,1.6965
T00071,2025-05-20,2025-05-20 11:30:00+00:00,SHORT,-660.69,8736.71,1008736.71,1026817.35,18080.64,1.7608
T00072,2025-05-20,2025-05-20 11:45:00+00:00,LONG,590.34,9327.06,1009327.06,1026817.35,17490.29,1.7033
T00073,2025-05-20,2025-05-20 12:15:00+00:00,LONG,-481.95,8845.11,1008845.11,1026817.35,17972.24,1.7503
T00074,2025-05-20,2025-05-20 12:45:00+00:00,SHORT,2889.80,11734.91,1011734.91,1026817.35,15082.44,1.4689
T00075,2025-05-20,2025-05-20 16:00:00+00:00,SHORT,-5654.81,6080.10,1006080.10,1026817.35,20737.25,2.0196
T00076,2025-05-20,2025-05-20 16:15:00+00:00,SHORT,-311.03,5769.07,1005769.07,1026817.35,21048.28,2.0499
T00077,2025-05-20,2025-05-20 16:30:00+00:00,SHORT,-2155.82,3613.25,1003613.25,1026817.35,23204.10,2.2598
T00078,2025-05-20,2025-05-20 16:45:00+00:00,SHORT,-1200.61,2412.64,1002412.64,1026817.35,24404.71,2.3767
T00079,2025-05-20,2025-05-20 17:00:00+00:00,SHORT,-127.36,2285.28,1002285.28,1026817.35,24532.07,2.3891
T00080,2025-05-20,2025-05-20 17:15:00+00:00,SHORT,-1710.48,574.81,1000574.81,1026817.35,26242.54,2.5557
T00081,2025-05-20,2025-05-20 19:00:00+00:00,LONG,-3129.47,-2554.67,997445.33,1026817.35,29372.02,2.8605
T00082,2025-05-20,2025-05-20 19:15:00+00:00,SHORT,-1677.82,-4232.49,995767.51,1026817.35,31049.84,3.0239
T00083,2025-05-20,2025-05-20 19:45:00+00:00,LONG,7296.76,3064.27,1003064.27,1026817.35,23753.08,2.3133
