trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00048,2025-05-18,2025-05-18 03:30:00+00:00,LONG,-777.84,-10994.77,989005.23,1011923.23,22918.00,2.2648
T00049,2025-05-18,2025-05-18 03:45:00+00:00,SHORT,-515.22,-11509.99,988490.01,1011923.23,23433.22,2.3157
T00050,2025-05-18,2025-05-18 08:00:00+00:00,LONG,4194.02,-7315.97,992684.03,1011923.23,19239.20,1.9013
T00051,2025-05-18,2025-05-18 17:00:00+00:00,LONG,18804.18,11488.21,1011488.21,1011923.23,435.02,0.0430
T00052,2025-05-18,2025-05-18 20:00:00+00:00,LONG,-3504.81,7983.40,1007983.40,1011923.23,3939.83,0.3893
T00053,2025-05-18,2025-05-18 20:15:00+00:00,SHORT,153.75,8137.15,1008137.15,1011923.23,3786.08,0.3741
T00054,2025-05-18,2025-05-18 20:45:00+00:00,LONG,-277.94,7859.21,1007859.21,1011923.23,4064.02,0.4016
T00055,2025-05-18,2025-05-18 22:15:00+00:00,LONG,-1892.80,5966.41,1005966.41,1011923.23,5956.82,0.5887
T00056,2025-05-18,2025-05-18 22:30:00+00:00,LONG,4884.43,10850.84,1010850.84,1011923.23,1072.39,0.1060
T00057,2025-05-19,2025-05-19 03:15:00+00:00,LONG,-1524.32,9326.52,1009326.52,1011923.23,2596.71,0.2566
T00058,2025-05-19,2025-05-19 04:15:00+00:00,SHORT,10503.61,19830.13,1019830.13,1019830.13,0.00,0.0000
T00059,2025-05-19,2025-05-19 15:00:00+00:00,SHORT,-3029.35,16800.78,1016800.78,1019830.13,3029.35,0.2970
T00060,2025-05-19,2025-05-19 17:15:00+00:00,LONG,11072.36,27873.14,1027873.14,1027873.14,0.00,0.0000
T00061,2025-05-20,2025-05-20 08:45:00+00:00,LONG,-2477.78,25395.36,1025395.36,1027873.14,2477.78,0.2411
T00062,2025-05-20,2025-05-20 11:00:00+00:00,LONG,-1056.17,24339.19,1024339.19,1027873.14,3533.95,0.3438
T00063,2025-05-20,2025-05-20 11:30:00+00:00,SHORT,-660.69,23678.50,1023678.50,1027873.14,4194.64,0.4081
T00064,2025-05-20,2025-05-20 11:45:00+00:00,LONG,1180.69,24859.19,1024859.19,1027873.14,3013.95,0.2932
T00065,2025-05-20,2025-05-20 12:15:00+00:00,LONG,-481.95,24377.24,1024377.24,1027873.14,3495.90,0.3401
T00066,2025-05-20,2025-05-20 13:45:00+00:00,SHORT,5779.60,30156.84,1030156.84,1030156.84,0.00,0.0000
T00067,2025-05-20,2025-05-20 16:00:00+00:00,SHORT,-2640.95,27515.89,1027515.89,1030156.84,2640.95,0.2564
T00068,2025-05-20,2025-05-20 16:15:00+00:00,SHORT,-311.03,27204.86,1027204.86,1030156.84,2951.98,0.2866
T00069,2025-05-20,2025-05-20 16:30:00+00:00,SHORT,-2155.82,25049.04,1025049.04,1030156.84,5107.80,0.4958
T00070,2025-05-20,2025-05-20 16:45:00+00:00,SHORT,-1200.61,23848.43,1023848.43,1030156.84,6308.41,0.6124
T00071,2025-05-20,2025-05-20 17:00:00+00:00,SHORT,-127.36,23721.07,1023721.07,1030156.84,6435.77,0.6247
T00072,2025-05-20,2025-05-20 17:15:00+00:00,SHORT,-1710.48,22010.59,1022010.59,1030156.84,8146.25,0.7908
T00073,2025-05-20,2025-05-20 19:00:00+00:00,LONG,-3129.47,18881.12,1018881.12,1030156.84,11275.72,1.0946
T00074,2025-05-20,2025-05-20 19:15:00+00:00,SHORT,-1677.82,17203.30,1017203.30,1030156.84,12953.54,1.2574
T00075,2025-05-21,2025-05-21 00:00:00+00:00,LONG,9400.89,26604.19,1026604.19,1030156.84,3552.65,0.3449
