variant,market,instrument,session_date,signal,scope,structure_tag,direction,signal_time,entry_time,entry_price,pivot_level,pivot_time,stop_price,stop_source,target_price,risk_reward,atr_at_signal,order_block_high,order_block_low,order_block_time,quantity,notional,position_risk_amount,slippage_points,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
internal_all,commodities,GCF,2026-04-20,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-20T13:25:00-04:00,2026-04-20T13:30:00-04:00,4830.499805,4829.799805,2026-04-20T11:25:00-04:00,4825.217735,atr_fallback,4841.063944,2.0,3.52138,,,,207,999913.46,1134.79,0.2,21,2026-04-20T15:10:00-04:00,4840.863944,TARGET,2145.38,17264.74,-15119.36,-1.5121,-13.3235
internal_all,commodities,GCF,2026-04-21,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-21T09:15:00-04:00,2026-04-21T09:20:00-04:00,4786.400098,4831.200195,2026-04-20T14:35:00-04:00,4797.189404,atr_fallback,4764.821484,2.0,7.192871,,,,208,995571.22,2285.78,0.2,3,2026-04-21T09:30:00-04:00,4797.389404,STOP_LOSS,-2285.78,17191.85,-19477.63,-1.9564,-8.5212
internal_all,commodities,GCF,2026-04-21,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-21T10:40:00-04:00,2026-04-21T10:45:00-04:00,4762.500195,4777.299805,2026-04-21T09:15:00-04:00,4776.450216,atr_fallback,4734.600153,2.0,9.300014,,,,209,995362.54,2957.35,0.2,8,2026-04-21T11:20:00-04:00,4776.650216,STOP_LOSS,-2957.35,17196.72,-20154.07,-2.0248,-6.8149
internal_all,commodities,GCF,2026-04-21,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-21T12:05:00-04:00,2026-04-21T12:10:00-04:00,4753.8,4755.299805,2026-04-21T11:35:00-04:00,4766.217951,atr_fallback,4728.964097,2.0,8.278634,,,,210,998298.0,2649.77,0.2,9,2026-04-21T12:50:00-04:00,4729.164097,TARGET,5173.54,17144.77,-11971.23,-1.1992,-4.5178
internal_all,commodities,GCF,2026-04-21,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-21T14:20:00-04:00,2026-04-21T14:25:00-04:00,4714.500195,4715.0,2026-04-21T13:25:00-04:00,4725.771645,atr_fallback,4691.957296,2.0,7.5143,,,,212,999474.04,2431.95,0.2,6,2026-04-21T14:50:00-04:00,4725.971645,STOP_LOSS,-2431.95,17260.79,-19692.74,-1.9703,-8.0975
internal_all,commodities,GCF,2026-04-22,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-22T09:15:00-04:00,2026-04-22T09:20:00-04:00,4762.400195,4742.0,2026-04-21T13:40:00-04:00,4750.753693,atr_fallback,4785.693199,2.0,7.764335,,,,209,995341.64,2475.92,0.2,15,2026-04-22T10:30:00-04:00,4750.553693,STOP_LOSS,-2475.92,17127.93,-19603.85,-1.9696,-7.9178
internal_all,commodities,GCF,2026-04-22,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-22T11:35:00-04:00,2026-04-22T11:40:00-04:00,4746.099805,4746.899902,2026-04-22T10:35:00-04:00,4756.010467,atr_fallback,4726.278481,2.0,6.607108,,,,210,996680.96,2123.24,0.2,17,2026-04-22T13:05:00-04:00,4754.900195,OPPOSITE_STRUCTURE,-1848.08,17205.42,-19053.5,-1.9117,-8.9738
internal_all,commodities,GCF,2026-04-22,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-22T13:00:00-04:00,2026-04-22T13:05:00-04:00,4754.900195,4754.100098,2026-04-22T12:05:00-04:00,4747.903735,atr_fallback,4768.893115,2.0,4.664307,,,,210,998529.04,1511.26,0.2,16,2026-04-22T14:25:00-04:00,4751.199902,OPPOSITE_STRUCTURE,-777.06,17204.12,-17981.18,-1.8008,-11.8981
internal_all,commodities,GCF,2026-04-22,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-22T14:20:00-04:00,2026-04-22T14:25:00-04:00,4751.199902,4751.399902,2026-04-22T13:25:00-04:00,4755.989157,atr_fallback,4741.621394,2.0,3.192836,,,,210,997751.98,1047.74,0.2,3,2026-04-22T14:35:00-04:00,4756.189157,STOP_LOSS,-1047.74,17213.75,-18261.49,-1.8303,-17.4294
internal_all,commodities,GCF,2026-04-22,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-22T14:40:00-04:00,2026-04-22T14:45:00-04:00,4758.599902,4757.600098,2026-04-22T14:05:00-04:00,4753.574913,atr_fallback,4768.649881,2.0,3.349993,,,,210,999305.98,1097.25,0.2,1,2026-04-22T14:45:00-04:00,4768.449881,TARGET,2068.5,17253.32,-15184.82,-1.5195,-13.839
internal_all,commodities,GCF,2026-04-23,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-23T09:15:00-04:00,2026-04-23T09:20:00-04:00,4743.599805,4748.399902,2026-04-22T14:20:00-04:00,4751.903376,atr_fallback,4726.992662,2.0,5.535714,,,,210,996155.96,1785.75,0.2,5,2026-04-23T09:40:00-04:00,4752.103376,STOP_LOSS,-1785.75,17195.61,-18981.36,-1.9055,-10.6293
internal_all,commodities,GCF,2026-04-23,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-23T10:00:00-04:00,2026-04-23T10:05:00-04:00,4740.199902,4741.399902,2026-04-23T09:30:00-04:00,4750.539188,atr_fallback,4719.521331,2.0,6.892857,,,,210,995441.98,2213.25,0.2,5,2026-04-23T10:25:00-04:00,4750.739188,STOP_LOSS,-2213.25,17188.72,-19401.97,-1.9491,-8.7663
internal_all,commodities,GCF,2026-04-23,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-23T11:15:00-04:00,2026-04-23T11:20:00-04:00,4755.800098,4753.600098,2026-04-23T10:25:00-04:00,4746.446495,atr_fallback,4774.507303,2.0,6.235735,,,,210,998718.02,2006.26,0.2,5,2026-04-23T11:40:00-04:00,4746.246495,STOP_LOSS,-2006.26,17191.89,-19198.15,-1.9223,-9.5691
internal_all,commodities,GCF,2026-04-23,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-23T11:45:00-04:00,2026-04-23T11:50:00-04:00,4741.400098,4742.899902,2026-04-23T10:35:00-04:00,4749.875108,atr_fallback,4724.450077,2.0,5.650007,,,,210,995694.02,1821.75,0.2,11,2026-04-23T12:40:00-04:00,4750.075108,STOP_LOSS,-1821.75,17188.12,-19009.87,-1.9092,-10.435
