market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,quantity,notional,slippage_points,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles
equity,HDFCBANK_NS,2026-04-29,OPEN_EQUALS_HIGH,SHORT,2026-04-29T09:15:00+05:30,785.450012,785.450012,781.25,781.599976,800182.0,0.5633,2026-04-29T09:30:00+05:30,780.849976,2026-04-29T09:35:00+05:30,780.649976,785.607102,770.735722,2026-04-29T09:45:00+05:30,785.807102,STOP_LOSS,128,99923.2,0.2,-660.11,50.0,-710.11,-0.7107,-1.0757,3
equity,ICICIBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,1213.199951,1213.199951,1202.900024,1207.599976,0.0,-0.2467,2026-04-06T09:25:00+05:30,1201.599976,2026-04-06T09:30:00+05:30,1201.3,1213.442591,1177.014818,2026-04-06T11:45:00+05:30,1213.642591,STOP_LOSS,81,97305.3,0.2,-999.75,50.0,-1049.75,-1.0788,-1.05,28
equity,ICICIBANK_NS,2026-04-10,OPEN_EQUALS_LOW,LONG,2026-04-10T09:15:00+05:30,1288.5,1301.400024,1288.5,1301.300049,0.0,0.4757,2026-04-10T09:25:00+05:30,1302.5,2026-04-10T09:30:00+05:30,1303.000049,1288.2423,1332.515546,2026-04-10T15:20:00+05:30,1321.399976,END_OF_DAY,66,85998.0,0.2,1214.4,50.0,1164.4,1.354,1.1795,71
equity,ICICIBANK_NS,2026-04-21,OPEN_EQUALS_LOW,LONG,2026-04-21T09:15:00+05:30,1362.800049,1375.0,1362.199951,1375.0,0.0,0.6722,2026-04-21T10:30:00+05:30,1377.199951,2026-04-21T10:35:00+05:30,1377.399951,1362.527489,1407.144876,2026-04-21T12:05:00+05:30,1362.327489,STOP_LOSS,66,90908.4,0.2,-994.78,50.0,-1044.78,-1.1493,-1.0503,19
equity,ICICIBANK_NS,2026-04-22,OPEN_EQUALS_HIGH,SHORT,2026-04-22T09:15:00+05:30,1379.0,1379.0,1372.900024,1375.599976,0.0,-0.4835,2026-04-22T09:20:00+05:30,1371.300049,2026-04-22T09:25:00+05:30,1371.700024,1379.2758,1356.548473,2026-04-22T15:20:00+05:30,1366.799976,END_OF_DAY,72,98762.4,0.2,352.8,50.0,302.8,0.3066,0.5409,72
equity,INFY_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,1260.300049,1272.0,1260.300049,1269.0,0.0,-1.3850,2026-04-02T09:20:00+05:30,1274.400024,2026-04-02T09:25:00+05:30,1274.500049,1260.047989,1303.404169,2026-04-02T15:10:00+05:30,1303.204169,TARGET,68,86666.0,0.2,1951.88,50.0,1901.88,2.1945,1.9089,70
equity,INFY_NS,2026-04-09,OPEN_EQUALS_HIGH,SHORT,2026-04-09T09:15:00+05:30,1329.900024,1329.900024,1316.099976,1321.599976,0.0,-1.2035,2026-04-09T09:40:00+05:30,1315.199951,2026-04-09T09:45:00+05:30,1314.8,1330.166004,1284.067991,2026-04-09T12:55:00+05:30,1330.366004,STOP_LOSS,64,84147.2,0.2,-996.22,50.0,-1046.22,-1.2433,-1.0502,39
equity,INFY_NS,2026-04-10,OPEN_EQUALS_HIGH,SHORT,2026-04-10T09:15:00+05:30,1317.0,1317.0,1302.699951,1306.900024,0.0,-1.0890,2026-04-10T09:20:00+05:30,1302.199951,2026-04-10T09:25:00+05:30,1301.999951,1317.2634,1271.473054,2026-04-10T15:20:00+05:30,1291.799976,END_OF_DAY,64,83328.0,0.2,652.8,50.0,602.8,0.7234,0.6091,72
equity,INFY_NS,2026-04-15,OPEN_EQUALS_LOW,LONG,2026-04-15T09:15:00+05:30,1302.599976,1314.0,1302.099976,1313.400024,0.0,2.0447,2026-04-15T09:20:00+05:30,1320.5,2026-04-15T09:25:00+05:30,1320.2,1302.339456,1355.921089,2026-04-15T11:35:00+05:30,1302.139456,STOP_LOSS,55,72611.0,0.2,-993.33,50.0,-1043.33,-1.4369,-1.0503,27
equity,INFY_NS,2026-04-20,OPEN_EQUALS_HIGH,SHORT,2026-04-20T09:15:00+05:30,1324.800049,1324.800049,1313.800049,1315.699951,0.0,0.3636,2026-04-20T09:20:00+05:30,1313.300049,2026-04-20T09:25:00+05:30,1312.999951,1325.065009,1288.869836,2026-04-20T15:20:00+05:30,1310.100024,END_OF_DAY,76,99788.0,0.2,220.39,50.0,170.39,0.1708,0.1828,13
