period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2022-05,31,4,0,0,179,0,100,79,179,0,0,12,15,0,-396.37,-14.68,-52247.47,-1935.09,936778.35,2022-05-06,2629.08,67462.40,2022-05-11,-5046.60,-165540.53,3,5,6968.26,234877.17,21.2134
2022-06,30,3,0,0,138,0,60,78,138,0,0,14,13,0,3992.28,147.86,130859.44,4846.65,1067637.82,2022-06-14,3622.49,128154.48,2022-06-21,-1441.76,-68972.38,3,3,2498.28,119573.31,10.2676
2022-07,31,0,0,0,155,0,84,71,155,0,0,15,16,0,844.00,27.23,36742.01,1185.23,1104379.78,2022-07-28,1511.80,71733.19,2022-07-19,-1048.88,-47442.84,2,4,1962.87,96191.99,9.0098
2022-08,31,2,0,0,175,0,85,90,175,0,0,9,20,0,-1210.76,-41.75,-64140.28,-2211.73,1040239.60,2022-08-20,1744.89,73504.91,2022-08-31,-899.98,-44916.30,4,6,1942.32,94226.44,8.3058
2022-09,30,2,0,0,175,0,94,81,175,0,0,9,19,0,-1725.11,-61.61,-85667.43,-3059.55,954572.15,2022-09-10,1632.32,86126.27,2022-09-24,-651.39,-33883.61,2,4,2752.24,142110.91,12.9582
2022-10,31,3,0,0,174,0,91,83,174,0,0,12,16,0,218.23,7.79,13223.74,472.28,967795.93,2022-10-27,1002.55,52770.25,2022-10-24,-410.74,-21171.64,3,6,1013.62,51429.40,5.3626
2022-11,30,2,0,0,186,0,99,87,186,0,0,8,20,0,143.50,5.12,-5818.89,-207.82,961977.01,2022-11-10,2454.64,126278.34,2022-11-11,-1171.73,-67471.98,3,8,2365.98,140092.53,13.0955
2022-12,31,2,0,0,206,0,104,102,206,0,0,11,18,0,162.21,5.59,7839.57,270.33,969816.59,2022-12-14,673.24,40021.47,2022-12-19,-208.53,-12451.63,4,7,1195.29,71294.90,6.8480
2023-01,31,3,0,0,175,0,95,80,175,0,0,12,16,0,2663.24,95.12,162218.46,5793.52,1132035.07,2023-01-15,3166.16,182862.44,2023-01-27,-650.52,-28252.00,3,3,2305.71,100586.86,8.4078
2023-02,28,2,0,0,125,0,63,62,125,0,0,13,13,0,2598.10,99.93,114272.07,4395.08,1246307.11,2023-02-16,2349.62,105553.70,2023-02-07,-640.94,-27724.47,4,3,1032.56,44621.60,3.9417
2023-03,31,3,0,0,161,1,79,82,160,1,0,11,17,0,5827.63,208.13,273071.43,9752.55,1519378.51,2023-03-14,3944.45,193890.81,2023-03-15,-723.35,-29149.15,3,7,1211.81,53573.85,4.2986
2023-04,30,1,0,0,173,0,85,88,173,0,0,10,19,0,-1711.17,-59.01,-62556.56,-2157.12,1456821.87,2023-04-11,1687.93,59595.08,2023-04-27,-2166.07,-76050.04,4,4,3355.64,117801.00,7.4812
2023-05,31,5,0,0,147,1,79,68,146,1,0,12,14,0,2334.25,89.78,82467.20,3171.82,1539289.05,2023-05-02,1150.87,39118.85,2023-05-30,-581.58,-20988.61,2,2,718.35,26858.29,1.7680
2023-06,30,1,0,0,179,0,98,81,179,0,0,12,17,0,869.80,29.99,41048.94,1415.48,1580338.01,2023-06-22,2079.67,79624.90,2023-06-12,-588.98,-22791.16,4,7,2136.67,82397.72,5.1751
2023-07,31,1,0,0,191,0,103,88,191,0,0,8,22,0,-1701.26,-56.71,-58228.67,-1940.96,1522109.37,2023-07-15,898.45,28713.05,2023-07-02,-466.53,-15286.64,3,8,1922.88,64708.45,4.0779
