date,status,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,remarks
2025-12-14,TRADED,10,0,6,4,10,0,0,1,9,0,326.01,32.60,578.29,-53.08,1,9,252.28,
2025-12-15,TRADED,6,0,4,2,6,0,0,1,5,0,259.31,43.22,837.18,-353.04,1,5,577.87,
2025-12-16,TRADED,3,0,2,1,3,0,0,1,2,0,716.97,238.99,1288.80,-517.01,1,2,571.83,
2025-12-17,TRADED,7,0,3,4,7,0,0,1,6,0,-3060.79,-437.26,163.89,-2332.56,1,6,3224.68,
2025-12-18,TRADED,9,0,2,7,9,0,0,2,7,0,-2131.13,-236.79,16.83,-940.09,1,4,2131.13,
2025-12-19,TRADED,3,0,2,1,3,0,0,0,3,0,-503.51,-167.84,-56.03,-277.87,0,3,503.51,
2025-12-20,TRADED,10,0,7,3,10,0,0,2,8,0,323.30,32.33,768.09,-176.66,1,5,444.79,
2025-12-21,TRADED,13,0,6,7,13,0,0,1,12,0,-1143.87,-87.99,15.22,-213.46,1,9,1143.87,
2025-12-22,TRADED,4,0,3,1,4,0,0,1,3,0,220.74,55.19,364.86,-107.81,1,3,144.12,
2025-12-23,TRADED,6,0,1,5,6,0,0,1,5,0,153.91,25.65,987.33,-241.90,1,5,833.42,
2025-12-24,TRADED,10,0,3,7,10,0,0,1,9,0,-348.66,-34.87,238.85,-165.89,1,7,483.38,
2025-12-25,TRADED,16,0,9,7,16,0,0,2,14,0,-346.37,-21.65,196.95,-118.31,1,11,446.42,
2025-12-26,TRADED,2,0,1,1,2,0,0,0,2,0,-716.10,-358.05,-79.76,-636.34,0,2,716.10,
2025-12-27,TRADED,7,0,6,1,7,0,0,0,7,0,-317.63,-45.38,-1.17,-92.75,0,7,317.63,
2025-12-28,TRADED,4,0,3,1,4,0,0,1,3,0,2.18,0.55,175.96,-133.41,1,3,173.78,
2025-12-29,TRADED,2,0,1,1,2,0,0,1,1,0,400.57,200.28,458.69,-58.12,1,1,58.12,
2025-12-30,TRADED,1,0,0,1,1,0,0,1,0,0,545.95,545.95,545.95,545.95,1,0,0.00,
2025-12-31,TRADED,1,0,1,0,1,0,0,1,0,0,761.16,761.16,761.16,761.16,1,0,0.00,
2026-01-01,TRADED,2,0,1,1,2,0,0,1,1,0,570.48,285.24,577.88,-7.40,1,1,7.40,
2026-01-02,TRADED,2,0,2,0,2,0,0,1,1,0,167.54,83.77,747.57,-580.03,1,1,580.03,
2026-01-03,TRADED,11,0,4,7,11,0,0,2,9,0,-1098.07,-99.82,23.35,-396.96,1,7,1119.59,
2026-01-04,TRADED,8,0,5,3,8,0,0,1,7,0,684.07,85.51,1050.90,-107.32,1,7,366.83,
2026-01-05,TRADED,1,0,1,0,1,0,0,0,1,0,-79.64,-79.64,-79.64,-79.64,0,1,79.64,
2026-01-06,TRADED,11,0,5,6,11,0,0,2,9,0,517.25,47.02,2053.71,-491.75,1,6,1536.46,
2026-01-07,TRADED,2,0,1,1,2,0,0,0,2,0,-174.82,-87.41,-43.07,-131.75,0,2,174.82,
2026-01-08,TRADED,5,0,2,3,5,0,0,1,4,0,1535.62,307.12,1987.84,-233.86,1,4,452.22,
2026-01-09,TRADED,7,0,3,4,7,0,0,0,7,0,-2018.60,-288.37,-45.98,-772.09,0,7,2018.60,
2026-01-10,TRADED,15,0,9,6,15,0,0,2,13,0,-217.73,-14.52,85.59,-76.97,2,13,336.47,
2026-01-11,TRADED,10,0,4,6,10,0,0,1,9,0,-341.06,-34.11,27.10,-117.62,1,6,341.06,
2026-01-12,TRADED,10,0,5,5,10,0,0,0,10,0,-1605.90,-160.59,-14.97,-377.52,0,10,1605.90,
2026-01-13,TRADED,5,0,3,2,5,0,0,0,5,0,-327.09,-65.42,-27.27,-162.32,0,5,327.09,
2026-01-14,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-01-15,TRADED,15,0,6,9,15,0,0,2,13,0,2852.24,190.15,4783.94,-735.47,1,12,1931.70,
2026-01-16,TRADED,7,0,4,3,7,0,0,1,6,0,338.25,48.32,902.34,-205.76,1,6,564.09,
2026-01-17,TRADED,23,0,14,9,23,0,0,1,22,0,-757.17,-32.92,43.30,-131.82,1,14,757.17,
2026-01-18,TRADED,11,0,4,7,11,0,0,1,10,0,-824.80,-74.98,51.26,-227.37,1,10,876.06,
2026-01-19,TRADED,3,0,1,2,3,0,0,1,2,0,1342.80,447.60,1380.37,-20.33,1,2,37.57,
2026-01-20,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-01-21,TRADED,5,0,3,2,5,0,0,1,4,0,1206.53,241.31,3659.72,-1538.88,1,4,2453.19,
2026-01-22,TRADED,4,0,1,3,4,0,0,1,3,0,-329.67,-82.42,69.72,-197.96,1,3,399.39,
2026-01-23,TRADED,20,0,7,13,20,0,0,1,19,0,-3294.08,-164.70,86.02,-524.78,1,11,3294.08,
2026-01-24,TRADED,7,0,2,5,7,0,0,0,7,0,-239.65,-34.24,-10.23,-64.73,0,7,239.65,
2026-01-25,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-01-26,TRADED,16,0,10,6,16,0,0,1,15,0,-677.81,-42.36,1685.86,-665.99,1,15,2363.67,
2026-01-27,TRADED,10,0,6,4,10,0,0,1,9,0,-1704.32,-170.43,195.77,-553.96,1,9,1900.09,
2026-01-28,TRADED,9,0,5,4,9,0,0,2,7,0,-290.35,-32.26,692.78,-365.55,2,7,1066.71,
2026-01-29,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-01-30,TRADED,8,0,1,7,8,0,0,1,7,0,3174.84,396.86,5800.60,-738.27,1,7,2625.76,
2026-01-31,TRADED,2,0,2,0,2,0,0,0,2,0,-509.78,-254.89,-40.86,-468.92,0,2,509.78,
2026-02-01,TRADED,1,0,0,1,1,0,0,1,0,0,4657.95,4657.95,4657.95,4657.95,1,0,0.00,
2026-02-02,TRADED,3,0,1,2,3,0,0,2,1,0,350.91,116.97,350.31,-54.61,2,1,54.61,
2026-02-03,TRADED,4,0,3,1,4,0,0,1,3,0,-680.26,-170.06,110.95,-519.68,1,3,791.21,
2026-02-04,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-02-05,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-02-06,TRADED,3,0,2,1,3,0,0,1,2,0,12276.35,4092.12,12356.79,-60.44,1,2,80.44,
2026-02-07,TRADED,14,0,6,8,14,0,0,1,13,0,-1097.16,-78.37,2755.03,-1361.12,1,13,3852.19,
2026-02-08,TRADED,9,0,4,5,9,0,0,0,9,0,-1420.03,-157.78,-47.29,-326.34,0,9,1420.03,
2026-02-09,TRADED,15,0,8,7,15,0,0,3,12,0,-373.51,-24.90,1078.42,-393.15,1,6,1451.93,
2026-02-10,TRADED,11,0,6,5,11,0,0,0,11,0,-1851.77,-168.34,-36.14,-313.08,0,11,1851.77,
2026-02-11,TRADED,15,0,3,12,15,0,0,1,14,0,-2644.41,-176.29,493.51,-1077.58,1,9,2644.41,
2026-02-12,TRADED,12,0,6,6,12,0,0,1,11,0,-1969.47,-164.12,67.10,-471.67,1,10,1969.47,
2026-02-13,TRADED,3,0,1,2,3,0,0,1,2,0,203.65,67.88,356.76,-92.19,1,2,153.11,
2026-02-14,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-02-15,TRADED,5,0,3,2,5,0,0,2,3,0,2443.04,488.61,2728.72,-139.61,1,3,303.92,
2026-02-16,TRADED,13,0,5,8,13,0,0,1,12,0,-966.39,-74.34,337.20,-343.65,1,12,1303.59,
2026-02-17,TRADED,9,0,3,6,9,0,0,1,8,0,-1171.43,-130.16,163.12,-500.23,1,4,1171.43,
2026-02-18,TRADED,9,0,4,5,9,0,0,1,8,0,-610.48,-67.83,122.09,-214.35,1,8,732.57,
2026-02-19,TRADED,13,0,5,8,13,0,0,2,11,0,-1459.60,-112.28,163.78,-584.78,1,7,1623.38,
2026-02-20,TRADED,9,0,6,3,9,0,0,1,8,0,-1637.93,-181.99,255.65,-463.66,1,8,1893.58,
2026-02-21,TRADED,5,0,4,1,5,0,0,2,3,0,219.65,43.93,326.64,-120.06,1,3,162.47,
2026-02-22,TRADED,5,0,3,2,5,0,0,0,5,0,-393.23,-78.65,-4.29,-168.49,0,5,393.23,
2026-02-23,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-02-24,TRADED,4,0,3,1,4,0,0,1,3,0,3894.77,973.69,4107.80,-105.85,1,3,213.03,
2026-02-25,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2026-02-26,TRADED,4,0,1,3,4,0,0,1,3,0,3651.64,912.91,3793.82,-77.67,1,3,142.18,
2026-02-27,TRADED,9,0,5,4,9,0,0,1,8,0,-331.66,-36.85,426.57,-258.88,1,8,758.23,
2026-02-28,TRADED,7,0,2,5,7,0,0,1,6,0,1048.89,149.84,2212.37,-571.35,1,6,1163.48,
