sizing_method,trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
volatility_adjusted,86,2026-04-21T15:20:00+05:30,2026-04-21,equity,BHARTIARTL_NS,-453.95,573255.48,-426744.52,-42.6745
volatility_adjusted,87,2026-04-21T09:50:00-04:00,2026-04-21,commodities,NGF,-6430.04,566825.44,-433174.56,-43.3175
volatility_adjusted,88,2026-04-22T15:20:00+05:30,2026-04-22,derivatives,CNXIT,547.96,567373.4,-432626.6,-43.2627
volatility_adjusted,89,2026-04-22T15:20:00+05:30,2026-04-22,equity,ICICIBANK_NS,1776.1,569149.5,-430850.5,-43.0851
volatility_adjusted,90,2026-04-22T15:20:00+05:30,2026-04-22,equity,INFY_NS,777.33,569926.83,-430073.17,-43.0073
volatility_adjusted,91,2026-04-22T15:20:00+05:30,2026-04-22,equity,LT_NS,2650.9,572577.73,-427422.27,-42.7422
volatility_adjusted,92,2026-04-22T14:45:00-04:00,2026-04-22,commodities,GCF,-10713.28,561864.45,-438135.55,-43.8136
volatility_adjusted,93,2026-04-23T15:20:00+05:30,2026-04-23,derivatives,CNXAUTO,4060.98,565925.43,-434074.57,-43.4075
volatility_adjusted,94,2026-04-23T15:20:00+05:30,2026-04-23,equity,KOTAKBANK_NS,-1950.94,563974.49,-436025.51,-43.6026
volatility_adjusted,95,2026-04-23T09:40:00-04:00,2026-04-23,commodities,NGF,-6303.54,557670.95,-442329.05,-44.2329
volatility_adjusted,96,2026-04-23T09:40:00-04:00,2026-04-23,commodities,SIF,-14719.83,542951.12,-457048.88,-45.7049
volatility_adjusted,97,2026-04-23T09:55:00-04:00,2026-04-23,commodities,GCF,-10112.77,532838.35,-467161.65,-46.7162
volatility_adjusted,98,2026-04-23T13:05:00-04:00,2026-04-23,commodities,HGF,-6705.64,526132.71,-473867.29,-47.3867
volatility_adjusted,99,2026-04-24T15:20:00+05:30,2026-04-24,derivatives,CNXFMCG,1359.5,527492.21,-472507.79,-47.2508
volatility_adjusted,100,2026-04-24T15:20:00+05:30,2026-04-24,equity,HDFCBANK_NS,-969.45,526522.76,-473477.24,-47.3477
volatility_adjusted,101,2026-04-24T15:20:00+05:30,2026-04-24,equity,ITC_NS,1516.71,528039.47,-471960.53,-47.1961
volatility_adjusted,102,2026-04-24T15:20:00+05:30,2026-04-24,equity,SBIN_NS,-323.18,527716.29,-472283.71,-47.2284
volatility_adjusted,103,2026-04-24T09:40:00-04:00,2026-04-24,commodities,SIF,-14346.74,513369.55,-486630.45,-48.663
volatility_adjusted,104,2026-04-24T13:30:00-04:00,2026-04-24,commodities,NGF,-5911.53,507458.02,-492541.98,-49.2542
volatility_adjusted,105,2026-04-27T11:35:00+05:30,2026-04-27,equity,ITC_NS,-3488.83,503969.19,-496030.81,-49.6031
volatility_adjusted,106,2026-04-27T15:20:00+05:30,2026-04-27,derivatives,CNXIT,2503.76,506472.95,-493527.05,-49.3527
volatility_adjusted,107,2026-04-27T15:20:00+05:30,2026-04-27,equity,INFY_NS,-1336.22,505136.73,-494863.27,-49.4863
volatility_adjusted,108,2026-04-27T15:20:00+05:30,2026-04-27,equity,RELIANCE_NS,27.16,505163.89,-494836.11,-49.4836
volatility_adjusted,109,2026-04-27T15:20:00+05:30,2026-04-27,equity,TCS_NS,3106.89,508270.78,-491729.22,-49.1729
volatility_adjusted,110,2026-04-27T09:35:00-04:00,2026-04-27,commodities,NGF,-5719.12,502551.66,-497448.34,-49.7448
volatility_adjusted,111,2026-04-27T09:45:00-04:00,2026-04-27,commodities,SIF,-13361.45,489190.21,-510809.79,-51.081
volatility_adjusted,112,2026-04-27T10:10:00-04:00,2026-04-27,commodities,CLF,-12342.46,476847.75,-523152.25,-52.3152
volatility_adjusted,113,2026-04-27T10:25:00-04:00,2026-04-27,commodities,HGF,-6162.79,470684.96,-529315.04,-52.9315
volatility_adjusted,114,2026-04-28T11:20:00+05:30,2026-04-28,derivatives,NSEBANK,-1956.5,468728.46,-531271.54,-53.1272
volatility_adjusted,115,2026-04-28T15:20:00+05:30,2026-04-28,equity,KOTAKBANK_NS,-2024.79,466703.67,-533296.33,-53.3296
volatility_adjusted,116,2026-04-28T10:05:00-04:00,2026-04-28,commodities,HGF,-5892.07,460811.6,-539188.4,-53.9188
volatility_adjusted,117,2026-04-28T10:35:00-04:00,2026-04-28,commodities,CLF,-10204.36,450607.24,-549392.76,-54.9393
volatility_adjusted,118,2026-04-28T11:15:00-04:00,2026-04-28,commodities,NGF,-5133.67,445473.57,-554526.43,-55.4526
volatility_adjusted,119,2026-04-29T09:45:00+05:30,2026-04-29,equity,HDFCBANK_NS,-2210.57,443263.0,-556737.0,-55.6737
volatility_adjusted,120,2026-04-29T12:10:00+05:30,2026-04-29,derivatives,CNXFMCG,4043.28,447306.28,-552693.72,-55.2694
volatility_adjusted,121,2026-04-29T12:15:00+05:30,2026-04-29,equity,BHARTIARTL_NS,1918.09,449224.37,-550775.63,-55.0776
volatility_adjusted,122,2026-04-29T12:15:00+05:30,2026-04-29,equity,ITC_NS,3950.88,453175.25,-546824.75,-54.6825
volatility_adjusted,123,2026-04-29T13:25:00+05:30,2026-04-29,derivatives,CNXAUTO,159.45,453334.7,-546665.3,-54.6665
