sizing_method,trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
fixed_fractional,33,2026-04-08T10:30:00-04:00,2026-04-08,commodities,SIF,-4215.25,800198.88,-199801.12,-19.9801
fixed_fractional,34,2026-04-09T10:30:00+05:30,2026-04-09,derivatives,NSEBANK,-1736.4,798462.48,-201537.52,-20.1538
fixed_fractional,35,2026-04-09T12:55:00+05:30,2026-04-09,equity,INFY_NS,-8290.21,790172.27,-209827.73,-20.9828
fixed_fractional,36,2026-04-09T15:20:00+05:30,2026-04-09,equity,HDFCBANK_NS,5174.54,795346.81,-204653.19,-20.4653
fixed_fractional,37,2026-04-09T15:20:00+05:30,2026-04-09,equity,ITC_NS,-5383.37,789963.44,-210036.56,-21.0037
fixed_fractional,38,2026-04-09T15:20:00+05:30,2026-04-09,equity,RELIANCE_NS,172.41,790135.85,-209864.15,-20.9864
fixed_fractional,39,2026-04-09T10:30:00-04:00,2026-04-09,commodities,SIF,-19358.85,770777.0,-229223.0,-22.9223
fixed_fractional,40,2026-04-09T15:20:00-04:00,2026-04-09,commodities,NGF,-7886.87,762890.13,-237109.87,-23.711
fixed_fractional,41,2026-04-10T09:25:00+05:30,2026-04-10,equity,BHARTIARTL_NS,-2638.94,760251.19,-239748.81,-23.9749
fixed_fractional,42,2026-04-10T15:20:00+05:30,2026-04-10,derivatives,NSEBANK,3483.96,763735.15,-236264.85,-23.6265
fixed_fractional,43,2026-04-10T15:20:00+05:30,2026-04-10,equity,ICICIBANK_NS,9062.41,772797.56,-227202.44,-22.7202
fixed_fractional,44,2026-04-10T15:20:00+05:30,2026-04-10,equity,INFY_NS,4735.6,777533.16,-222466.84,-22.2467
fixed_fractional,45,2026-04-10T15:20:00+05:30,2026-04-10,equity,LT_NS,1025.09,778558.25,-221441.75,-22.1442
fixed_fractional,46,2026-04-10T09:40:00-04:00,2026-04-10,commodities,SIF,-19901.65,758656.6,-241343.4,-24.1343
fixed_fractional,47,2026-04-10T15:20:00-04:00,2026-04-10,commodities,GCF,-14148.53,744508.07,-255491.93,-25.5492
fixed_fractional,48,2026-04-13T10:55:00-04:00,2026-04-13,commodities,SIF,-18309.84,726198.23,-273801.77,-27.3802
fixed_fractional,49,2026-04-14T09:30:00-04:00,2026-04-14,commodities,GCF,-14100.84,712097.39,-287902.61,-28.7903
fixed_fractional,50,2026-04-14T10:05:00-04:00,2026-04-14,commodities,CLF,1898.22,713995.61,-286004.39,-28.6004
fixed_fractional,51,2026-04-14T13:40:00-04:00,2026-04-14,commodities,SIF,-3777.44,710218.17,-289781.83,-28.9782
fixed_fractional,52,2026-04-15T11:35:00+05:30,2026-04-15,equity,INFY_NS,-7327.04,702891.13,-297108.87,-29.7109
fixed_fractional,53,2026-04-15T15:20:00+05:30,2026-04-15,derivatives,CNXFMCG,-2170.55,700720.58,-299279.42,-29.9279
