sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,slippage_points,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
fractional_kelly,commodities,GCF,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00-04:00,4758.100098,4768.0,4757.899902,4766.299805,719.0,1.1071,2026-04-01T09:35:00-04:00,4773.600098,2026-04-01T09:40:00-04:00,4773.300098,4757.148478,4805.603338,2026-04-01T10:00:00-04:00,4756.948478,STOP_LOSS,12.128592,0.2,191,915281.21,1.0,3123.16,0.0,54916.87,911700.32,0.0,2745843.63,per_trade_allocation,kelly_warmup_fixed_percent_risk,-3123.16,15681.81,-18804.97,-2.0626,-6.0211,5,896476.24
fractional_kelly,derivatives,NSEI,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00+05:30,22383.400391,22383.400391,22209.5,22228.0,0.0,-1.3230,2026-04-02T09:55:00+05:30,22206.5,2026-04-02T10:00:00+05:30,22201.800781,22387.877071,21829.648202,2026-04-02T13:00:00+05:30,22392.877071,STOP_LOSS,61.732422,5.0,5,896476.24,1.0,955.38,25891.24,53788.57,111009.0,2568371.43,2689428.72,gross_exposure,kelly_warmup_fixed_percent_risk,-955.38,110.48,-1065.86,-0.9602,-1.1156,37,895410.38
fractional_kelly,equity,SBIN_NS,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00+05:30,1001.0,1002.0,986.25,987.0,0.0,-1.4715,2026-04-02T10:00:00+05:30,982.299988,2026-04-02T10:05:00+05:30,981.950024,1001.2002,943.449673,2026-04-02T13:35:00+05:30,1001.4002,STOP_LOSS,4.792868,0.2,10,896476.24,1.0,194.5,26846.62,53788.57,9819.5,2679380.43,2689428.72,gross_exposure,kelly_warmup_fixed_percent_risk,-194.5,10.56,-205.06,-2.0883,-1.0543,43,895205.32
fractional_kelly,equity,TCS_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,2381.100098,2398.0,2381.100098,2392.0,0.0,-1.2975,2026-04-02T09:20:00+05:30,2404.300049,2026-04-02T09:25:00+05:30,2404.2,2380.623878,2451.352245,2026-04-02T13:35:00+05:30,2451.152245,TARGET,7.557094,0.2,372,896476.24,1.0,8844.72,8952.41,53788.57,894362.4,778719.53,2689428.72,per_trade_allocation,kelly_warmup_fixed_percent_risk,17466.24,369.55,17096.69,1.9116,1.933,51,912302.01
fractional_kelly,equity,INFY_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,1260.300049,1272.0,1260.300049,1269.0,0.0,-1.3850,2026-04-02T09:20:00+05:30,1274.400024,2026-04-02T09:25:00+05:30,1274.500049,1260.047989,1303.404169,2026-04-02T15:10:00+05:30,1303.204169,TARGET,4.492833,0.2,611,896476.24,1.0,8952.41,0.0,53788.57,778719.53,0.0,2689428.72,risk_budget,kelly_warmup_fixed_percent_risk,17538.22,328.54,17209.68,2.21,1.9224,70,929511.69
fractional_kelly,equity,RELIANCE_NS,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00+05:30,1358.0,1358.0,1349.400024,1351.199951,0.0,-0.8252,2026-04-02T09:35:00+05:30,1347.0,2026-04-02T09:40:00+05:30,1346.3,1358.2716,1322.3568,2026-04-02T15:20:00+05:30,1349.600024,END_OF_DAY,4.171439,0.2,665,896476.24,1.0,8094.11,17797.13,53788.57,895289.5,1673081.93,2689428.72,per_trade_allocation,kelly_warmup_fixed_percent_risk,-2194.52,365.49,-2560.01,-0.2859,-0.3163,69,926951.68
fractional_kelly,commodities,CLF,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00-04:00,113.389999,113.440002,112.540001,113.110001,4723.0,13.6856,2026-04-02T09:30:00-04:00,111.900002,2026-04-02T09:35:00-04:00,111.719998,113.412677,108.33464,2026-04-02T09:40:00-04:00,113.612677,STOP_LOSS,1.07857,0.2,4897,926951.68,1.0,9268.45,2324.46,55617.1,547092.83,924619.98,2780855.04,risk_budget,kelly_warmup_fixed_percent_risk,-9268.45,9569.57,-18838.02,-3.4433,-2.0325,2,908113.66
fractional_kelly,commodities,GCF,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00-04:00,4612.600098,4620.200195,4609.799805,4616.600098,579.0,-3.6573,2026-04-02T09:25:00-04:00,4622.700195,2026-04-02T09:30:00-04:00,4623.099902,4611.677578,4645.944552,2026-04-02T09:40:00-04:00,4611.477578,STOP_LOSS,13.621408,0.2,200,926951.68,1.0,2324.46,0.0,55617.1,924619.98,0.0,2780855.04,per_trade_allocation,kelly_warmup_fixed_percent_risk,-2324.46,15913.99,-18238.45,-1.9725,-7.8463,3,889875.21
fractional_kelly,equity,ICICIBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,1213.199951,1213.199951,1202.900024,1207.599976,0.0,-0.2467,2026-04-06T09:25:00+05:30,1201.599976,2026-04-06T09:30:00+05:30,1201.3,1213.442591,1177.014818,2026-04-06T11:45:00+05:30,1213.642591,STOP_LOSS,5.042847,0.2,720,889875.21,1.0,8886.67,26657.84,53392.51,864936.0,1486416.24,2669625.63,risk_budget,kelly_warmup_fixed_percent_risk,-8886.67,356.64,-9243.31,-1.0687,-1.0401,28,880631.9
fractional_kelly,equity,HDFCBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,760.0,760.0,746.200012,750.299988,0.0,1.3604,2026-04-06T09:40:00+05:30,746.049988,2026-04-06T09:45:00+05:30,745.8,760.152,717.096,2026-04-06T12:25:00+05:30,760.352,STOP_LOSS,3.832145,0.2,426,889875.21,1.0,6199.15,35544.51,53392.51,317710.8,2351352.24,2669625.63,gross_exposure,kelly_warmup_fixed_percent_risk,-6199.15,161.71,-6360.86,-2.0021,-1.0261,33,874271.04
