period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2022-04,30,0,4,0,307,0,172,135,275,32,0,0,9,17,0,-4252.93,-163.57,-103191.21,-3968.89,670945.01,2022-04-21,1513.32,36287.68,2022-04-07,-1597.07,-36678.82,3,5,6539.07,161412.99,20.8085
2022-05,31,1,1,0,378,0,203,175,329,49,0,0,15,14,0,206.62,7.12,-6568.03,-226.48,664376.98,2022-05-15,1361.30,45751.49,2022-05-11,-1205.63,-38515.81,4,5,3743.82,122758.70,16.6691
2022-06,30,0,1,0,255,0,128,127,215,40,0,0,11,18,0,448.21,15.46,13369.00,461.00,677745.94,2022-06-14,610.32,27333.92,2022-06-08,-657.48,-21641.89,2,4,1045.27,50746.99,7.1524
2022-07,31,0,1,0,315,0,173,142,268,47,0,0,13,17,0,541.46,18.05,29750.10,991.67,707495.94,2022-07-27,738.65,34883.16,2022-07-01,-847.15,-43767.56,4,4,1496.53,65532.88,9.0552
2022-08,31,1,1,0,399,0,199,200,346,53,0,0,13,16,0,270.54,9.33,-3660.35,-126.22,703835.63,2022-08-01,830.80,35310.43,2022-08-02,-664.65,-28845.87,6,4,2440.19,116255.33,14.1759
2022-09,30,1,0,0,372,0,203,169,320,52,0,0,17,12,0,783.28,27.01,40016.02,1379.86,743851.65,2022-09-12,678.49,31273.10,2022-09-11,-515.69,-23898.33,4,3,1005.88,49277.69,6.8049
2022-10,31,1,2,0,398,0,183,215,347,51,0,0,16,12,0,463.03,16.54,22808.35,814.58,766659.99,2022-10-13,384.74,20189.18,2022-10-12,-363.79,-19042.07,5,6,1098.88,56145.04,7.4213
2022-11,30,0,1,0,390,0,194,196,342,48,0,0,14,15,0,273.95,9.45,17646.67,608.51,784306.64,2022-11-13,505.57,30183.00,2022-11-14,-467.63,-28404.92,4,4,1185.79,58140.84,7.5837
2022-12,31,0,0,0,496,0,244,252,441,55,0,0,10,21,0,-893.30,-28.82,-53911.22,-1739.07,730395.33,2022-12-13,353.71,20729.19,2022-12-18,-191.15,-11418.33,4,7,1063.57,63084.22,8.0156
2023-01,31,0,2,0,383,0,210,173,326,57,0,0,14,15,0,-22.26,-0.77,6904.69,238.09,737300.10,2023-01-11,480.72,27627.30,2023-01-26,-511.85,-22215.40,3,4,1411.00,61506.80,8.0048
2023-02,28,1,0,0,269,0,129,140,228,41,0,0,14,13,0,2820.18,104.45,117088.73,4336.62,854388.75,2023-02-09,910.98,39850.99,2023-02-01,-456.83,-19834.45,8,5,1102.48,47537.46,6.4475
2023-03,31,0,2,0,385,1,187,198,347,37,1,0,13,16,0,-2031.88,-70.06,-78183.72,-2695.99,776204.93,2023-03-17,596.95,24139.45,2023-03-18,-605.54,-22132.30,3,4,2785.71,106232.70,12.3149
2023-04,30,0,1,0,369,0,189,180,318,51,0,0,14,15,0,760.28,26.22,24766.24,854.01,800971.20,2023-04-20,691.28,23922.77,2023-04-24,-443.78,-16140.42,6,3,1303.74,46152.39,5.4481
2023-05,31,1,0,0,321,1,167,154,275,45,1,0,13,17,0,-31.34,-1.04,337.73,11.26,801308.96,2023-05-28,639.07,23792.34,2023-05-09,-602.61,-21773.59,4,4,1811.09,63990.69,7.8321
2023-06,30,0,1,0,401,0,217,184,349,52,0,0,11,18,0,-874.82,-30.17,-34938.18,-1204.76,766370.82,2023-06-16,488.64,19109.28,2023-06-11,-546.65,-21179.62,3,5,3187.43,113880.69,13.7346
2023-07,31,0,0,0,436,0,238,198,369,67,0,0,13,18,0,1255.20,40.49,40382.69,1302.67,806753.57,2023-07-24,804.76,26992.18,2023-07-19,-455.91,-15215.84,3,5,1005.20,33570.58,4.0435
2023-08,31,0,2,0,367,0,188,179,314,53,0,0,13,16,0,538.79,18.58,16351.94,563.86,823105.56,2023-08-02,660.32,22637.33,2023-08-21,-450.16,-17253.57,3,5,673.22,24055.84,2.8732
2023-09,30,1,0,0,474,0,228,246,405,69,0,0,10,19,0,-925.46,-31.91,-34954.99,-1205.34,788150.64,2023-09-11,594.25,23153.00,2023-09-06,-435.23,-16921.84,2,5,1568.90,58876.33,7.1032
2023-10,31,1,0,0,378,0,201,177,324,54,0,0,17,13,0,25.24,0.84,8709.84,290.33,796860.51,2023-10-20,647.28,22695.62,2023-10-13,-578.81,-21597.62,4,3,1233.21,36469.46,4.3764
2023-11,30,0,0,0,427,0,221,206,365,62,0,0,13,17,0,-96.31,-3.21,-3961.32,-132.04,792899.17,2023-11-21,1305.88,35145.98,2023-11-01,-804.35,-23360.11,4,5,1518.33,42633.06,5.3501
2023-12,31,0,1,0,321,0,163,158,264,57,0,0,18,12,0,898.01,29.93,24817.21,827.24,817716.35,2023-12-13,903.55,21844.89,2023-12-10,-852.33,-19433.48,4,2,1632.21,38568.28,4.6340
2024-01,31,0,0,0,460,0,250,210,401,59,0,0,14,17,0,-1094.57,-35.31,-22785.30,-735.01,794931.03,2024-01-22,1349.93,32739.52,2024-01-15,-1514.58,-35531.28,3,4,4117.54,95716.55,11.4076
2024-02,29,0,2,1,339,1,164,175,288,51,0,0,11,15,0,-2795.81,-107.53,-61411.67,-2361.99,733519.26,2024-02-23,708.81,13844.37,2024-02-16,-1780.74,-34208.48,5,6,4755.64,99528.04,12.5203
2024-03,31,0,1,0,329,0,172,157,282,47,0,0,19,11,0,3929.21,130.97,54186.20,1806.21,787705.38,2024-03-13,1796.60,24889.20,2024-03-20,-2224.51,-35217.46,7,3,2874.09,42648.66,5.7147
2024-04,30,0,0,0,361,0,179,182,316,45,0,0,16,14,0,-2489.33,-82.98,-39093.77,-1303.13,748611.67,2024-04-10,3199.17,46187.26,2024-04-03,-1909.55,-28973.39,4,4,6406.09,97214.06,11.9927
2024-05,31,2,0,0,332,1,171,161,279,53,0,0,15,14,0,3354.95,115.69,57099.02,1968.93,805710.69,2024-05-09,2379.42,38486.45,2024-05-07,-1544.68,-24274.38,3,3,3022.36,44569.05,5.4297
