period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2025-08,31,2,0,0,321,0,160,161,321,0,0,13,16,0,4851.70,167.30,39218.22,1352.35,2586962.08,2025-08-03,4406.87,37409.28,2025-08-28,-1588.24,-14163.81,4,4,4326.71,38128.75,1.4633
2025-09,30,2,0,0,299,0,161,138,299,0,0,12,16,0,2648.18,94.58,23661.17,845.04,2610623.31,2025-09-30,3707.16,33998.50,2025-09-01,-1677.40,-15436.89,3,3,4449.22,38846.77,1.5016
2025-10,31,4,0,0,278,1,147,131,277,1,0,13,14,0,12888.05,477.34,112806.41,4178.02,2723429.75,2025-10-12,7319.05,59618.56,2025-10-15,-2695.76,-23939.63,5,4,6481.50,56999.25,2.1123
2025-11,30,2,0,0,350,0,177,173,350,0,0,10,18,0,921.71,32.92,-5583.83,-199.42,2717845.96,2025-11-21,4594.27,49654.00,2025-11-22,-4812.74,-57106.65,2,4,8463.02,98295.30,3.5008
2025-12,31,2,0,0,267,0,144,123,267,0,0,15,14,0,4181.49,144.19,47314.52,1631.54,2765160.45,2025-12-01,4352.25,47750.99,2025-12-17,-2798.74,-31363.60,3,3,6765.56,76881.49,2.7256
2026-01,31,4,0,0,305,0,152,153,305,0,0,10,17,0,-1375.80,-50.96,-18320.20,-678.53,2746840.27,2026-01-30,3507.04,37389.15,2026-01-23,-3056.81,-34125.70,2,6,6945.54,78239.90,2.8004
2026-02,28,5,0,0,258,0,126,132,258,0,0,9,14,0,9940.44,432.19,115289.68,5012.59,2862130.01,2026-02-06,12176.67,154808.86,2026-02-09,-2885.19,-40992.63,2,6,14953.15,215921.00,7.2928
2026-03,31,5,0,0,303,0,164,139,303,0,0,12,14,0,2385.45,91.75,28694.39,1103.63,2890824.41,2026-03-28,4509.64,63314.14,2026-03-02,-2616.50,-39418.69,4,3,4858.41,72032.99,2.5120
2026-04,30,2,0,0,300,0,142,158,300,0,0,12,16,0,365.14,13.04,8444.51,301.59,2899268.87,2026-04-14,2466.00,34520.09,2026-04-15,-2172.35,-29264.71,2,4,3881.06,50168.14,1.7075
2026-05,10,1,0,0,69,1,39,30,67,1,1,5,4,0,2353.69,261.52,30865.46,3429.50,2930134.31,2026-05-02,1986.73,26206.96,2026-05-06,-1678.64,-20635.11,3,2,1787.44,21967.10,0.7465
