trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00084,2021-06-03,2021-06-03 03:00:00+00:00,SHORT,-2768.67,3075.89,1003075.89,1018599.28,15523.39,1.5240
T00085,2021-06-03,2021-06-03 03:30:00+00:00,SHORT,-456.58,2619.31,1002619.31,1018599.28,15979.97,1.5688
T00086,2021-06-03,2021-06-03 04:00:00+00:00,LONG,-127.90,2491.41,1002491.41,1018599.28,16107.87,1.5814
T00087,2021-06-03,2021-06-03 05:30:00+00:00,LONG,13350.20,15841.62,1015841.62,1018599.28,2757.66,0.2707
T00088,2021-06-04,2021-06-04 01:30:00+00:00,LONG,-2225.75,13615.86,1013615.86,1018599.28,4983.42,0.4892
T00089,2021-06-04,2021-06-04 22:30:00+00:00,SHORT,-2601.38,11014.48,1011014.48,1018599.28,7584.80,0.7446
T00090,2021-06-04,2021-06-04 23:00:00+00:00,SHORT,-2487.72,8526.76,1008526.76,1018599.28,10072.52,0.9889
T00091,2021-06-04,2021-06-04 23:30:00+00:00,SHORT,-1799.22,6727.54,1006727.54,1018599.28,11871.74,1.1655
T00092,2021-06-06,2021-06-06 06:00:00+00:00,SHORT,-3359.52,3368.01,1003368.01,1018599.28,15231.27,1.4953
T00093,2021-06-06,2021-06-06 06:30:00+00:00,LONG,-1510.52,1857.49,1001857.49,1018599.28,16741.79,1.6436
T00094,2021-06-06,2021-06-06 08:00:00+00:00,SHORT,-3711.11,-1853.62,998146.38,1018599.28,20452.90,2.0079
T00095,2021-06-06,2021-06-06 09:00:00+00:00,LONG,-3836.33,-5689.96,994310.04,1018599.28,24289.24,2.3846
T00096,2021-06-06,2021-06-06 11:00:00+00:00,LONG,-1976.40,-7666.36,992333.64,1018599.28,26265.64,2.5786
T00097,2021-06-06,2021-06-06 11:30:00+00:00,LONG,-2929.47,-10595.83,989404.17,1018599.28,29195.11,2.8662
T00098,2021-06-06,2021-06-06 12:00:00+00:00,SHORT,-581.81,-11177.64,988822.36,1018599.28,29776.92,2.9233
T00099,2021-06-06,2021-06-06 12:30:00+00:00,SHORT,-941.70,-12119.33,987880.67,1018599.28,30718.61,3.0158
T00100,2021-06-06,2021-06-06 13:30:00+00:00,SHORT,-949.12,-13068.45,986931.55,1018599.28,31667.73,3.1089
T00101,2021-06-06,2021-06-06 15:00:00+00:00,SHORT,-3121.16,-16189.61,983810.39,1018599.28,34788.89,3.4154
T00102,2021-06-06,2021-06-06 18:30:00+00:00,LONG,-3492.45,-19682.07,980317.93,1018599.28,38281.35,3.7582
T00103,2021-06-06,2021-06-06 19:00:00+00:00,SHORT,-546.25,-20228.31,979771.69,1018599.28,38827.59,3.8119
T00104,2021-06-06,2021-06-06 19:30:00+00:00,SHORT,1340.89,-18887.43,981112.57,1018599.28,37486.71,3.6802
T00105,2021-06-06,2021-06-06 21:00:00+00:00,SHORT,-3988.89,-22876.32,977123.68,1018599.28,41475.60,4.0718
T00106,2021-06-06,2021-06-06 21:30:00+00:00,LONG,-1615.06,-24491.39,975508.61,1018599.28,43090.67,4.2304
T00107,2021-06-06,2021-06-06 22:00:00+00:00,LONG,-687.42,-25178.81,974821.19,1018599.28,43778.09,4.2979
T00108,2021-06-06,2021-06-06 22:30:00+00:00,LONG,-190.26,-25369.07,974630.93,1018599.28,43968.35,4.3166
T00109,2021-06-07,2021-06-07 00:30:00+00:00,SHORT,-4877.09,-30246.17,969753.83,1018599.28,48845.45,4.7954
T00110,2021-06-07,2021-06-07 07:00:00+00:00,LONG,-2271.85,-32518.01,967481.99,1018599.28,51117.29,5.0184
T00111,2021-06-07,2021-06-07 07:30:00+00:00,LONG,-332.38,-32850.40,967149.60,1018599.28,51449.68,5.0510
T00112,2021-06-07,2021-06-07 08:00:00+00:00,LONG,-55.16,-32905.55,967094.45,1018599.28,51504.83,5.0564
T00113,2021-06-07,2021-06-07 08:30:00+00:00,LONG,-2141.06,-35046.61,964953.39,1018599.28,53645.89,5.2666
T00114,2021-06-07,2021-06-07 09:00:00+00:00,SHORT,-2839.16,-37885.77,962114.23,1018599.28,56485.05,5.5454
T00115,2021-06-07,2021-06-07 09:30:00+00:00,LONG,-1232.61,-39118.38,960881.62,1018599.28,57717.66,5.6664
T00116,2021-06-07,2021-06-07 14:30:00+00:00,LONG,-3505.61,-42623.99,957376.01,1018599.28,61223.27,6.0105
T00117,2021-06-07,2021-06-07 17:30:00+00:00,SHORT,11352.30,-31271.70,968728.30,1018599.28,49870.98,4.8960
T00118,2021-06-08,2021-06-08 20:30:00+00:00,SHORT,-2795.30,-34067.00,965933.00,1018599.28,52666.28,5.1705
T00119,2021-06-09,2021-06-09 01:00:00+00:00,LONG,-2314.00,-36380.99,963619.01,1018599.28,54980.27,5.3976
T00120,2021-06-09,2021-06-09 02:00:00+00:00,LONG,-2548.78,-38929.77,961070.23,1018599.28,57529.05,5.6479
T00121,2021-06-09,2021-06-09 03:30:00+00:00,LONG,-3042.21,-41971.99,958028.01,1018599.28,60571.27,5.9465
T00122,2021-06-09,2021-06-09 04:30:00+00:00,LONG,-2704.70,-44676.68,955323.32,1018599.28,63275.96,6.2121
T00123,2021-06-09,2021-06-09 05:00:00+00:00,SHORT,-3781.31,-48458.00,951542.00,1018599.28,67057.28,6.5833
T00124,2021-06-10,2021-06-10 10:00:00+00:00,LONG,13407.71,-35050.29,964949.71,1018599.28,53649.57,5.2670
T00125,2021-06-10,2021-06-10 15:30:00+00:00,LONG,-2211.70,-37261.98,962738.02,1018599.28,55861.26,5.4841
T00126,2021-06-10,2021-06-10 16:00:00+00:00,LONG,-2686.03,-39948.01,960051.99,1018599.28,58547.29,5.7478
T00127,2021-06-10,2021-06-10 16:30:00+00:00,SHORT,-1541.40,-41489.41,958510.59,1018599.28,60088.69,5.8991
T00128,2021-06-10,2021-06-10 17:30:00+00:00,SHORT,12130.45,-29358.95,970641.05,1018599.28,47958.23,4.7083
T00129,2021-06-11,2021-06-11 00:30:00+00:00,SHORT,-3750.10,-33109.05,966890.95,1018599.28,51708.33,5.0764
T00130,2021-06-11,2021-06-11 04:30:00+00:00,SHORT,-2656.59,-35765.65,964234.35,1018599.28,54364.93,5.3372
T00131,2021-06-11,2021-06-11 06:30:00+00:00,LONG,-4274.31,-40039.96,959960.04,1018599.28,58639.24,5.7569
T00132,2021-06-11,2021-06-11 08:00:00+00:00,SHORT,-4684.43,-44724.39,955275.61,1018599.28,63323.67,6.2167
T00133,2021-06-11,2021-06-11 10:00:00+00:00,LONG,10756.43,-33967.95,966032.05,1018599.28,52567.23,5.1607
T00134,2021-06-11,2021-06-11 16:00:00+00:00,LONG,-2486.75,-36454.70,963545.30,1018599.28,55053.98,5.4049
T00135,2021-06-11,2021-06-11 16:30:00+00:00,SHORT,-661.01,-37115.71,962884.29,1018599.28,55714.99,5.4698
T00136,2021-06-11,2021-06-11 17:30:00+00:00,SHORT,-2716.19,-39831.90,960168.10,1018599.28,58431.18,5.7364
T00137,2021-06-11,2021-06-11 18:00:00+00:00,SHORT,-1261.39,-41093.29,958906.71,1018599.28,59692.57,5.8603
T00138,2021-06-11,2021-06-11 18:30:00+00:00,LONG,-1714.93,-42808.22,957191.78,1018599.28,61407.50,6.0286
T00139,2021-06-11,2021-06-11 19:00:00+00:00,SHORT,-934.62,-43742.84,956257.16,1018599.28,62342.12,6.1204
