trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
69,2026-04-13T15:20:00-04:00,2026-04-13,commodities,HGF,-745.95,83606.96,-16393.04,-16.393
70,2026-04-14T15:20:00-04:00,2026-04-14,commodities,CLF,293.2,83900.16,-16099.84,-16.0998
71,2026-04-14T15:20:00-04:00,2026-04-14,commodities,GCF,272.2,84172.36,-15827.64,-15.8276
72,2026-04-14T15:20:00-04:00,2026-04-14,commodities,SIF,117.07,84289.43,-15710.57,-15.7106
73,2026-04-15T15:20:00+05:30,2026-04-15,derivatives,CNXAUTO,-274.7,84014.73,-15985.27,-15.9853
74,2026-04-15T15:20:00+05:30,2026-04-15,derivatives,CNXFMCG,-37.9,83976.83,-16023.17,-16.0232
75,2026-04-15T15:20:00+05:30,2026-04-15,derivatives,NSEI,-66.0,83910.83,-16089.17,-16.0892
76,2026-04-15T15:20:00+05:30,2026-04-15,equity,HDFCBANK_NS,-158.3,83752.53,-16247.47,-16.2475
77,2026-04-15T15:20:00+05:30,2026-04-15,equity,KOTAKBANK_NS,146.65,83899.18,-16100.82,-16.1008
78,2026-04-15T15:20:00+05:30,2026-04-15,equity,SBIN_NS,-310.3,83588.88,-16411.12,-16.4111
79,2026-04-15T15:20:00+05:30,2026-04-15,equity,TCS_NS,59.2,83648.08,-16351.92,-16.3519
80,2026-04-16T11:40:00+05:30,2026-04-16,equity,HDFCBANK_NS,-1049.71,82598.37,-17401.63,-17.4016
81,2026-04-16T12:00:00+05:30,2026-04-16,derivatives,NSEBANK,-754.57,81843.8,-18156.2,-18.1562
82,2026-04-16T12:00:00+05:30,2026-04-16,derivatives,NSEI,-974.54,80869.26,-19130.74,-19.1307
83,2026-04-16T15:20:00+05:30,2026-04-16,derivatives,CNXIT,-158.9,80710.36,-19289.64,-19.2896
84,2026-04-16T15:20:00+05:30,2026-04-16,equity,BHARTIARTL_NS,-78.9,80631.46,-19368.54,-19.3685
85,2026-04-16T15:20:00+05:30,2026-04-16,equity,ICICIBANK_NS,-809.5,79821.96,-20178.04,-20.178
86,2026-04-16T15:20:00+05:30,2026-04-16,equity,INFY_NS,-287.6,79534.36,-20465.64,-20.4656
87,2026-04-16T15:20:00+05:30,2026-04-16,equity,ITC_NS,-492.79,79041.57,-20958.43,-20.9584
88,2026-04-16T15:20:00+05:30,2026-04-16,equity,KOTAKBANK_NS,-855.8,78185.77,-21814.23,-21.8142
89,2026-04-16T15:20:00+05:30,2026-04-16,equity,SBIN_NS,-59.0,78126.77,-21873.23,-21.8732
90,2026-04-16T15:20:00-04:00,2026-04-16,commodities,CLF,-439.57,77687.2,-22312.8,-22.3128
91,2026-04-16T15:20:00-04:00,2026-04-16,commodities,GCF,-208.0,77479.2,-22520.8,-22.5208
92,2026-04-16T15:20:00-04:00,2026-04-16,commodities,HGF,-942.52,76536.68,-23463.32,-23.4633
93,2026-04-16T15:20:00-04:00,2026-04-16,commodities,NGF,-865.0,75671.68,-24328.32,-24.3283
94,2026-04-16T15:20:00-04:00,2026-04-16,commodities,SIF,-359.77,75311.91,-24688.09,-24.6881
95,2026-04-17T15:20:00+05:30,2026-04-17,derivatives,CNXFMCG,812.25,76124.16,-23875.84,-23.8758
96,2026-04-17T15:20:00+05:30,2026-04-17,equity,ICICIBANK_NS,-494.8,75629.36,-24370.64,-24.3706
97,2026-04-17T15:20:00+05:30,2026-04-17,equity,LT_NS,-224.6,75404.76,-24595.24,-24.5952
